Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
60 Seconds!,4902120,25500,6138,5,201,113,0,192.24
7 Days to Die,51015720,3376260,8754,161,5513,1182,78,15.11
A Bastard's Tale,2897400,4020,15108,4,27,67,0,720.75
A Way Out,64938480,2952300,32309,318,13106,1505,68,22
Age of Barbarian,3678060,1560,9604,2,11,85,0,2357.73
Age of Empires II,49260960,811140,37601,43,1654,1141,18,60.73
Albion Online,5034240,344100,554,23,513,116,7,14.63
Alien: Isolation,5989200,499500,7125,43,2054,138,11,11.99
Always On,61763640,480300,8658,14,20,1431,11,128.59
Amberskull,2879760,4620,24179,6,39,66,0,623.32
American Truck Simulator,5171100,615720,3906,41,1793,119,14,8.4
ArcheAge,16036500,983460,2318,123,1332,371,22,16.31
Arena of Valor,34411800,649680,7290,40,1164,797,15,52.97
ARK,98452920,6698460,18682,296,12685,2282,155,14.7
Arma 3,68264820,4244280,13202,286,7512,1582,98,16.08
Assassin's Creed Origins,5969580,1111260,1035,78,6418,138,25,5.37
Attack on Titan 2,4778940,280260,35514,29,938,110,6,17.05
Azur Lane,4533180,264480,2797,24,292,105,6,17.14
Banjo-Kazooie,6715980,184440,3825,17,390,155,4,36.41
Barbie and the Magic of Pegasus,18650880,15300,40036,10,118,432,0,1219.01
BATMAN - The Telltale Series,7871880,116760,20677,12,491,182,2,67.42
Batman: The Enemy Within - The Telltale Series,22712040,198120,26352,22,733,526,4,114.64
Battlefield 1,19509780,3638640,1852,176,13621,452,84,5.36
Battlefield 4,8100600,1930260,2250,94,8592,187,44,4.2
Battlerite,22172640,1851180,6970,86,5790,513,42,11.98
BattleTech,71313000,1512540,26795,504,2839,1653,35,47.15
Battletoads,5240880,18360,1338,3,65,121,0,285.45
Beholder,12554820,89520,7740,14,372,291,2,140.25
Beyond: Two Souls,3930420,66300,5103,7,315,91,1,59.28
Black Desert Online,196771620,7877880,10939,278,8919,4561,182,24.98
Black Mesa,3346200,45180,6316,7,222,77,1,74.06
Black Squad,5591100,1132140,1570,56,2895,129,26,4.94
Black Survival,4711140,150360,823,16,259,109,3,31.33
Blade and Soul,18355680,1890420,2753,87,2653,425,43,9.71
Bless Online,7194120,337380,523,21,329,166,7,21.32
Blood Bowl 2,5454840,280260,591,27,429,126,6,19.46
Bloodborne,55655160,4058400,9012,204,12528,1290,94,13.71
Board Games,3745620,123000,4151,19,277,86,2,30.45
Board Games Live,9837720,53640,5019,17,142,228,1,183.4
BombTag,7351620,29640,29957,7,300,170,0,248.03
Borderlands 2,50517360,2030040,11484,97,5804,1171,47,24.88
Borderlands: The Pre-Sequel!,4630620,212940,1525,17,793,107,4,21.75
Brawlhalla,7423740,1144920,24777,75,6806,172,26,6.48
Business Tour,5214360,179700,4156,22,1510,120,4,29.02
Call of Cthulhu: Dark Corners of the Earth,3954480,19320,6496,5,64,91,0,204.68
Call of Duty: Black Ops II,3985740,748200,2110,51,2779,92,17,5.33
Call of Duty: Black Ops III,20109060,4777260,5419,309,22302,466,110,4.21
Call of Duty: WWII,194826600,5553780,85806,346,45787,4516,128,35.08
Casino_old,313414020,1444500,24497,68,1300,7265,33,216.97
Cave Story,7257600,40140,7404,9,149,168,0,180.81
Celeste,17920740,514140,10599,31,1490,415,11,34.86
Chess,51271380,688800,28156,42,906,1188,15,74.44
Chrono Trigger,4444260,173100,3330,17,400,103,4,25.67
Cities: Skylines,23720760,820920,6712,46,2474,549,19,28.9
Clash of Clans,3165540,264000,573,18,530,73,6,11.99
