Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
60 Seconds!,13332540,52260,18245,8,414,299,1,255.12
7 Billion Humans,4797900,49080,5487,11,198,107,1,97.76
7 Days to Die,26326080,2633520,6816,104,4872,590,59,10
A Way Out,4767900,323160,2703,24,1629,106,7,14.75
Age of Empires II,45033480,780240,18771,39,1601,1010,17,57.72
Aggressors: Ancient Rome,5998860,3300,21006,6,16,134,0,1817.84
Albion Online,5508600,318900,927,22,492,123,7,17.27
Alien: Isolation,8011020,505560,3381,33,1958,179,11,15.85
Always On,269755680,572940,57919,20,40,6051,12,470.83
American Truck Simulator,7251180,735420,8570,42,2160,162,16,9.86
APB Reloaded,3606840,466020,389,27,865,80,10,7.74
Arena of Valor,37916940,657960,34469,35,1474,850,14,57.63
ARK,111565560,6927240,27787,279,8919,2502,155,16.11
Arma 3,47430960,3641040,24231,221,6632,1063,81,13.03
ArmA II: Operation Arrowhead,3823860,62880,6904,7,177,85,1,60.81
Assassin's Creed Origins,5792220,738540,2179,38,4164,129,16,7.84
Azur Lane,5122980,234240,1427,17,406,114,5,21.87
Banjo-Kazooie,4130940,177720,1146,17,410,92,3,23.24
Batman: Arkham Asylum,6055020,125100,13854,14,482,135,2,48.4
Battlefield 1,27606480,5364900,2886,246,19448,619,120,5.15
Battlefield 4,7526580,2064540,3990,95,9880,168,46,3.65
Battlefield V,17221200,339120,22041,187,1301,386,7,50.78
Battlerite,12573780,857640,29179,38,2785,282,19,14.66
BattleTech,3717000,180060,7110,16,407,83,4,20.64
Beat Saber,21470520,1393440,12770,101,5199,481,31,15.41
Bethesda @ QuakeCon,8486100,14520,100781,34,49,190,0,584.44
Bigfoot,11044740,66240,20508,11,464,247,1,166.74
BioShock,3504540,399300,5663,30,1614,78,8,8.78
Black Desert Online,138368400,6812220,14794,232,8320,3103,152,20.31
Black Squad,4265100,1049400,796,52,3078,95,23,4.06
Blade and Soul,22079700,1698720,5309,96,2397,495,38,13
BlazBlue Cross Tag Battle,25397760,823680,38149,119,2596,569,18,30.83
Blizzard,4052580,4500,37956,3,19,90,0,900.57
Blood Bowl 2,4149780,240660,3451,21,422,93,5,17.24
Bloodborne,55433400,2066700,15424,85,6178,1243,46,26.82
Bloodborne: The Old Hunters,5611620,17100,13551,5,199,125,0,328.16
Bloons TD 5,3853560,48900,9920,8,330,86,1,78.8
Bloons TD 6,6429600,81300,9117,9,201,144,1,79.08
Board Games,4765680,155160,5668,16,337,106,3,30.71
Borderlands,3925500,211860,3416,17,696,88,4,18.53
Borderlands 2,15436980,1538880,3785,76,4787,346,34,10.03
Boxing,6838440,17640,45814,42,148,153,0,387.67
Boxing Fight,89806800,45360,1097362,302,547,2014,1,1979.87
Brawlhalla,12077280,1597620,9100,76,9376,270,35,7.56
Broforce,3869340,51300,12962,8,477,86,1,75.43
Bullet Girls Phantasia,10013160,60360,12263,13,140,224,1,165.89
Business Tour,5979300,321960,9300,34,2993,134,7,18.57
Call of Cthulhu: Dark Corners of the Earth,3222240,22680,3717,6,93,72,0,142.07
Call of Duty: Black Ops 4,367587900,12270360,168872,3680,42041,8245,275,29.96
Call of Duty: Black Ops II,5471640,915840,821,46,3799,122,20,5.97
Call of Duty: Black Ops III,67743420,11451600,8978,494,52365,1519,256,5.92
Call of Duty: Ghosts,11444340,558600,10154,80,2608,256,12,20.49
Call of Duty: WWII,197994420,4850340,148960,290,37006,4441,108,40.82
CASE 2: Animatronics Survival,3969660,15480,13365,4,98,89,0,256.44
Casino_old,573549600,3269520,56607,120,1785,12865,73,175.42
Celeste,8193480,461880,2845,34,1206,183,10,17.74
Changed,3258180,12600,5334,4,39,73,0,258.59
Chasm,9409860,310440,4397,88,1014,211,6,30.31
Chess,45375840,768180,8693,50,1007,1017,17,59.07
Chrono Trigger,4594080,248820,2388,32,643,103,5,18.46
Citadel: Forged with Fire,13007340,187560,24689,27,430,291,4,69.35
Cities: Skylines,10131180,810300,7830,44,3052,227,18,12.5
Clash of Clans,4398540,341520,2281,22,812,98,7,12.88
Clash Royale,32583000,880320,55232,47,2676,730,19,37.01
Closed Nightmare,4306680,9600,5658,3,27,96,0,448.61
Company of Heroes 2,10643700,433980,1875,28,708,238,9,24.53
Conan Exiles,28927080,2030280,21186,97,3415,648,45,14.25
Counter-Strike Online,5566020,32700,7268,5,159,124,0,170.21
Counter-Strike: Global Offensive,1301873940,45621960,187317,1846,121482,29203,1023,28.54
Crash Bandicoot: N. Sane Trilogy,9296880,632040,5713,43,4131,208,14,14.71
Creative,261909720,18368280,25717,660,34491,5875,412,14.26
Creative Destruction,7160160,1520460,4638,73,5228,160,34,4.71
Crossout,3999480,684360,2729,38,1642,89,15,5.84
Crusader Kings II,8281440,200040,3089,18,467,185,4,41.4
Crypto,25403580,827460,1536,26,170,569,18,30.7
Cuphead,10522980,697620,6708,39,3905,236,15,15.08
Cyberpunk 2077,47848380,46320,453069,226,456,1073,1,1033
Daemonical,5519280,54360,21196,15,297,123,1,101.53
Dark Souls,44550420,1884120,7542,100,4486,999,42,23.65
