Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
60 Parsecs!,11002440,22440,15473,10,132,246,0,490.3
7 Days to Die,70379640,4825860,25079,221,7266,1578,108,14.58
A Hat in Time,3789780,246000,3146,23,1115,85,5,15.41
A Way Out,5743620,293400,4677,22,1476,128,6,19.58
Age of Empires II,48468900,922740,7013,53,2199,1087,20,52.53
Aion,3994920,495360,409,29,572,89,11,8.06
Alien: Isolation,7175340,435060,1649,31,1910,160,9,16.49
Always On,225715680,607140,22611,19,43,5063,13,371.77
American Truck Simulator,9050640,865140,10176,47,2773,203,19,10.46
Amnesia: The Dark Descent,8532000,164280,21101,17,1100,191,3,51.94
Animal Jam,4775940,13440,48987,30,111,107,0,355.35
Apparition,4676400,9120,8645,3,42,104,0,512.76
Arena of Valor,11502000,409800,5381,24,1062,258,9,28.07
ArenaM,5881140,12480,37788,43,55,131,0,471.25
ARK,163382820,8368800,45885,383,11598,3664,187,19.52
Arma 3,36228840,2911920,14034,211,5788,812,65,12.44
Art,243255000,12880440,29628,478,24716,5456,288,18.89
Artifact,204430680,4525020,64803,448,8903,4585,101,45.18
Ashen,55059840,915360,41773,76,3320,1235,20,60.15
Ashes of Creation,4204080,222300,30250,82,629,94,4,18.91
ASMR,151105020,1897740,9206,64,1590,3389,42,79.62
Assassin's Creed Odyssey,26956500,3137340,7617,157,11524,604,70,8.59
Ast�rix & Ob�lix XXL 2: Mission: Las Vegum,5027160,25020,32012,8,137,112,0,200.93
Atlas,1160434620,9056640,318887,2104,14786,26030,203,128.13
ATOM RPG: Post-apocalyptic indie game,4449060,118080,23325,24,298,99,2,37.68
Azur Lane,5268660,255900,7950,19,503,118,5,20.59
Banjo-Kazooie,3648420,105240,4326,11,300,81,2,34.67
Banjo-Tooie,3543300,69420,2984,8,100,79,1,51.04
Battle Brothers,30317700,483660,17619,27,400,680,10,62.68
Battlefield 1,4957080,1269780,5798,64,7002,111,28,3.9
Battlefield 4,3388800,1073760,1904,56,5235,76,24,3.16
Battlefield V,208218240,13578540,41386,716,44553,4670,304,15.33
Battlerite,8070480,821160,6207,44,2809,181,18,9.83
Battlerite Royale,86956800,1385640,39304,117,3499,1950,31,62.76
BattleTech,6677640,278640,11452,21,489,149,6,23.97
Beat Saber,16975140,2065020,7492,115,10376,380,46,8.22
