Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
60 Seconds!,3562980,26580,6505,5,188,88,0,134.05
7 Days to Die,26849880,3298500,4777,165,5760,666,81,8.14
Abandon Ship,11180940,85560,11183,36,392,277,2,130.68
Age of Empires II,40590120,822060,9239,52,1825,1008,20,49.38
Age of Empires: Definitive Edition,4644300,177540,6410,48,638,115,4,26.16
Albion Online,3099720,269160,792,18,376,76,6,11.52
Alien: Isolation,5042460,411240,2903,30,1540,125,10,12.26
Always On,48490500,581220,4820,17,22,1204,14,83.43
American Truck Simulator,8873940,747360,1835,53,1914,220,18,11.87
Amnesia: The Dark Descent,5064120,311400,4446,38,1971,125,7,16.26
Arena of Valor,31815180,597900,7453,31,972,790,14,53.21
ARK,98480340,7336140,13463,336,13250,2446,182,13.42
Arma 3,31956660,3505200,15494,247,6298,793,87,9.12
Assassin's Creed IV: Black Flag,2363340,427740,1495,29,1479,58,10,5.53
Assassin's Creed Origins,10785600,1724760,3121,96,9490,267,42,6.25
Astroneer,10215660,339780,22482,50,1441,253,8,30.07
Banjo-Kazooie,4403280,156540,1115,13,316,109,3,28.13
Barbie and the Magic of Pegasus,12348300,8220,39443,6,51,306,0,1502.23
Barbie Horse Adventures: Riding Camp,2339160,9960,39190,4,17,58,0,234.86
Battalion 1944,44239080,2898300,40291,744,9194,1098,71,15.26
Battlefield 1,27131160,4781520,4426,242,16715,673,118,5.67
Battlefield 4,8311920,1896660,3648,101,8565,206,47,4.38
Battlerite,10088340,1232820,5795,67,4346,250,30,8.18
Bayonetta,3848820,321000,1214,49,1104,95,7,11.99
Bayonetta 2,5414580,170940,6439,28,470,134,4,31.68
BBO2 Online,2251260,26280,1877,6,41,55,0,85.66
Ben and Ed,2388060,6540,10883,3,43,59,0,365.15
Ben and Ed: Blood Party,4185660,21660,9452,5,156,103,0,193.24
Bigfoot,4777740,9180,29820,5,67,118,0,520.45
BioShock,3259020,295380,3680,23,1107,80,7,11.03
BioShock Infinite,4038000,251700,3351,19,869,100,6,16.04
Black Desert Online,179580660,7538340,7391,282,9522,4460,187,23.82
Black Squad,3441900,880680,402,51,2789,85,21,3.91
Black Survival,6581820,248640,1285,19,330,163,6,26.47
Blackjack,2525880,41160,4397,6,106,62,1,61.37
Blade and Soul,19013940,2022420,4232,98,2686,472,50,9.4
Blood Bowl 2,3919140,246900,620,23,425,97,6,15.87
Bloodborne,37491600,2013960,6070,103,5501,931,50,18.62
Board Game Classics,2517360,1200,8295,3,6,62,0,2097.8
Board Games,4818180,95880,3991,11,240,119,2,50.25
Board Games Live,5804640,48360,3352,11,88,144,1,120.03
Borderlands,3551460,281700,1313,21,797,88,6,12.61
Borderlands 2,48651300,2442120,10006,220,5469,1208,60,19.92
Bouncing Duck Simulator,3738420,1260,32725,3,12,92,0,2967
Brawlhalla,6243660,905280,8167,60,5298,155,22,6.9
Bully: Scholarship Edition,2769180,50040,9647,8,254,68,1,55.34
Business Tour,3453780,176580,7775,25,1364,85,4,19.56
Call of Duty: Black Ops II,2885580,646500,2446,42,2521,71,16,4.46
Call of Duty: Black Ops III,12947340,4797420,5134,266,17632,321,119,2.7
Call of Duty: WWII,152580840,7051680,41348,437,55911,3789,175,21.64
Candleman,4186740,28920,33383,6,153,103,0,144.77
Casino_old,156724920,1079100,15758,55,991,3892,26,145.24
Celeste,42522300,1251780,30194,98,3212,1056,31,33.97
Chess,43628400,542040,21551,35,803,1083,13,80.49
Chrono Cross,3940200,43080,2292,5,60,97,1,91.46
Chrono Trigger,2736720,155880,1407,24,351,67,3,17.56
Cities: Skylines,11245260,817920,4363,61,2783,279,20,13.75
Clash of Clans,2952540,212280,412,18,507,73,5,13.91
Clash Royale,52228680,872400,16123,58,2400,1297,21,59.87
Color-Changing: Tingle's Balloon Trip of Love,5216880,7980,5307,2,10,129,0,653.74
Company of Heroes 2,6174180,379260,2368,26,808,153,9,16.28
Conan Exiles,4301460,454260,2026,30,836,106,11,9.47
Counter-Strike: Global Offensive,2249192760,46736040,360635,2315,120998,55866,1160,48.13
Creative,219358620,15642660,24266,623,30413,5448,388,14.02
Crossing Souls,4034280,122880,10722,26,495,100,3,32.83
Crossout,2957580,726780,517,40,1579,73,18,4.07
Crunchyroll Anime Awards,6370080,10020,36412,55,52,158,0,635.74
Crusader Kings II,8668800,154620,4265,15,405,215,3,56.07
Crypto,4057500,350460,807,18,156,100,8,11.58
Cuphead,8707440,910920,9416,56,4835,216,22,9.56
Cypher,2887020,9180,12415,6,49,71,0,314.49
Danganronpa 2: Goodbye Despair,2570040,117840,3869,11,214,63,2,21.81
Danganronpa V3: Killing Harmony,2727420,167700,872,17,309,67,4,16.26
Danganronpa: Trigger Happy Havoc,2197380,147240,496,14,308,54,3,14.92
Dark Souls,39312060,1556520,6518,78,3946,976,38,25.26
Dark Souls II,2505900,234780,2490,17,688,62,5,10.67
Dark Souls II: Scholar of the First Sin,18015540,1164180,6068,62,2779,447,28,15.47
Dark Souls III,109483620,6246480,16511,276,17532,2719,155,17.53
Darkest Dungeon,19193700,857280,9459,46,2291,476,21,22.39
Darkwood,2472360,89940,2394,10,322,61,2,27.49
Darwin Project,20082960,481080,54819,289,2202,498,11,41.75
Dauntless,3624480,537180,718,35,1366,90,13,6.75
DayZ,24021660,1475580,3336,88,2534,596,36,16.28
DCS World,2209320,215640,3578,22,474,54,5,10.25
Dead by Daylight,230592900,13511280,26853,570,23035,5727,335,17.07
Dead Cells,4559340,335160,2910,27,1517,113,8,13.6
Dead Space,2449560,369660,1547,35,1827,60,9,6.63
Deceit,17838180,935760,17826,63,4606,443,23,19.06
Deep Rock Galactic,6554400,76800,10149,87,413,162,1,85.34
Delver,6563160,39960,37813,11,243,163,0,164.24
Demon's Souls,15616620,186180,11655,28,297,387,4,83.88
Descenders,14937420,80940,43300,24,484,371,2,184.55
Desolate,18009180,468000,37986,68,1880,447,11,38.48
Destiny,5260800,1468920,3374,107,5121,130,36,3.58
Destiny 2,83789700,11407980,7006,684,23099,2081,283,7.34
Diablo II: Lord of Destruction,30786480,958440,13933,86,1155,764,23,32.12
Diablo III: Reaper of Souls,69822120,5423700,17928,1288,11376,1734,134,12.87
