Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
007: Agent Under Fire,12471120,4200,109987,7,15,279,0,2969.31
60 Seconds!,5308800,41940,17611,13,316,119,0,126.58
7 Days to Die,28625520,3906060,3765,165,6798,642,87,7.33
8 Ball Pool,6892080,23460,27782,4,173,154,0,293.78
A Hat in Time,5922240,416820,18435,30,1462,132,9,14.21
Agar.io,3908520,70980,225,8,366,87,1,55.07
Age of Empires II,44497320,861900,13527,46,1795,998,19,51.63
Aion,4406580,457620,626,32,635,98,10,9.63
Alien: Isolation,4288320,454200,888,29,1727,96,10,9.44
Always On,113143080,609600,10866,18,33,2537,13,185.6
American Truck Simulator,9881160,943860,3173,52,2360,221,21,10.47
Animorphs: Shattered Reality,6701460,1560,108111,8,11,150,0,4295.81
Arabian Nights,7155840,2820,118705,9,18,160,0,2537.53
ArcheAge,3961380,397800,842,29,634,88,8,9.96
Arena of Valor,32337480,614100,5371,34,1149,725,13,52.66
ARK,120435240,9939960,15455,414,17943,2701,222,12.12
Arma 3,39369180,3961260,8544,271,7317,883,88,9.94
Armed With Wings: Rearmed,10920540,1920,93510,7,14,244,0,5687.78
Armello,11172000,127620,8801,10,456,250,2,87.54
Assassin's Creed Origins,19658820,2064840,9910,146,11314,440,46,9.52
Astroneer,4992600,427320,19321,33,1655,111,9,11.68
Athena,4308720,780,103022,9,12,96,0,5524
Batman: Arkham Asylum,11517660,94260,125021,14,340,258,2,122.19
Battalion 1944,29189040,496380,72120,425,2212,654,11,58.8
BattleBlock Theater,7843200,96840,82839,15,801,175,2,80.99
Battlefield 1,32687220,5045640,6187,228,17804,733,113,6.48
Battlefield 4,6150840,1846380,5117,93,8788,137,41,3.33
Battlerite,23190960,2206620,29792,104,7490,520,49,10.51
Battletoads,7506780,10140,148658,13,51,168,0,740.31
Ben and Ed,6452640,12420,26816,4,87,144,0,519.54
Besiege,4751640,40200,8617,10,258,106,0,118.2
Black Desert Online,212306100,8464860,16542,342,10928,4762,189,25.08
Black Squad,17493240,892620,33613,60,3274,392,20,19.6
Black Survival,4587180,262440,1148,21,371,102,5,17.48
Blade and Soul,25894860,2197860,10878,111,3033,580,49,11.78
Blaster Master Zero,5768880,5460,119044,9,25,129,0,1056.57
BlazBlue: Central Fiction,4837560,101040,11490,14,682,108,2,47.88
Blood Bowl 2,5867460,273720,3029,21,462,131,6,21.44
Blood II: The Chosen,14961060,3180,107359,8,15,335,0,4704.74
Bloodborne,82990500,3234240,215882,151,8781,1861,72,25.66
Bloodborne: The Old Hunters,8482560,50760,5092,13,551,190,1,167.11
Board Games,8644200,96960,16095,13,250,193,2,89.15
Board Games Live,8225940,47340,5925,6,101,184,1,173.76
Borderlands 2,21950040,1761120,4916,90,5156,492,39,12.46
Borderlands: The Pre-Sequel!,7084680,224580,1779,17,873,158,5,31.55
Brawlhalla,4737180,1045980,637,55,5949,106,23,4.53
Bridge Constructor Portal,20324040,200820,30617,19,1031,455,4,101.21
Burnout Paradise,9070380,30420,99995,11,220,203,0,298.17
Business Tour,9363000,220800,9969,23,1592,210,4,42.4
Call of Duty: Black Ops III,15436740,4735080,5721,240,19817,346,106,3.26
Call of Duty: WWII,280775940,11404620,65238,547,73873,6298,255,24.62
Cards Against Humanity,3934680,155280,22786,27,1402,88,3,25.34
Casino_old,195286620,1179180,19307,61,1092,4380,26,165.61
Castlevania: Harmony of Dissonance,8013300,14580,121383,9,26,179,0,549.61
Castlevania: Symphony of the Night,5541720,66360,127334,9,237,124,1,83.51
Cat Quest,4870560,85740,95703,13,392,109,1,56.81
Catechumen,7544640,2160,7016,3,6,169,0,3492.89
Celeste,11916660,380220,22158,87,1315,267,8,31.34
Chess,39310080,463200,41482,46,810,881,10,84.87
Chip 'N Dale: Rescue Rangers,6480960,6720,104579,8,39,145,0,964.43
Cities: Skylines,21638520,802800,9407,41,2512,485,18,26.95
Clash Royale,75809280,1001160,19143,57,2637,1700,22,75.72
Cloudbuilt,11498940,3300,95281,9,22,257,0,3484.53
Company of Heroes 2,6776160,455220,942,28,897,152,10,14.89
Conan Exiles,3814080,598560,1072,33,1012,85,13,6.37
Counter-Strike: Global Offensive,4176208020,47053560,1298358,1978,125843,93678,1055,88.75
Crash Bandicoot: N. Sane Trilogy,4315620,164340,154636,12,2283,96,3,26.26
Creative,230579820,16563360,28774,611,31676,5172,371,13.92
CrossCode,4056480,37440,6342,6,104,90,0,108.35
Crusader Kings II,4695000,186960,2014,15,434,105,4,25.11
Crypto,6695160,385920,766,20,178,150,8,17.35
Cuphead,17177760,1594980,8138,87,8844,385,35,10.77
Curve Fever 3,5499420,1500,25899,2,10,123,0,3666.28
Danganronpa 2: Goodbye Despair,6361680,157500,6084,13,262,142,3,40.39
