Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
7 Days to Die,30344280,2927820,3218,122,5186,680,65,10.36
A Hat in Time,4260360,498420,3719,32,1870,95,11,8.55
A Way Out,5360220,367920,3673,26,1869,120,8,14.57
Absolver,4180980,797700,1004,66,4182,93,17,5.24
Age of Empires II,65395980,837540,45645,43,1927,1466,18,78.08
Albion Online,5921700,343440,3815,24,583,132,7,17.24
Alien: Isolation,9343680,587580,8447,41,2209,209,13,15.9
Always On,176811300,603060,17043,16,31,3966,13,293.19
American Truck Simulator,8651100,933780,1948,58,2761,194,20,9.26
APB Reloaded,4830540,592320,799,35,1048,108,13,8.16
ArcheAge,5502300,270120,2015,17,476,123,6,20.37
Arena of Valor,24759960,517320,7130,30,1343,555,11,47.86
ARK,252957300,8825160,40648,319,13968,5674,197,28.66
Arma 3,63273480,4321920,8796,259,7664,1419,96,14.64
Assassin's Creed Origins,5537640,1092600,2943,61,4880,124,24,5.07
Astroneer,38478420,828360,28867,61,2239,863,18,46.45
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,8486880,37560,6787,4,61,190,0,225.96
Bacon Man: An Adventure,12248040,2160,15140,5,13,274,0,5670.39
Barbie and the Magic of Pegasus,8573160,14580,28163,5,108,192,0,588.01
Battlefield 1,36333900,4979340,10583,200,17039,815,111,7.3
Battlefield 4,7803480,2051400,1276,93,9415,175,46,3.8
Battlefield V,102915480,337680,277175,129,1128,2308,7,304.77
Battlerite,7323480,909480,3319,45,2831,164,20,8.05
Beat Saber,23804100,1369800,10577,66,5271,533,30,17.38
Beyond: Two Souls,4947120,180120,3276,18,1230,110,4,27.47
BioShock,22595880,385680,25273,25,1616,506,8,58.59
BioShock Infinite,5219160,332700,15637,23,1232,117,7,15.69
Black Desert Online,173162340,7619160,7169,246,8438,3884,170,22.73
Black Squad,4547820,975660,3111,51,2946,102,21,4.66
Blade and Soul,23323020,1682520,5651,75,2541,523,37,13.86
BlazBlue Cross Tag Battle,11711340,743760,4424,45,2142,262,16,15.75
Bless Online,4898280,457680,549,36,560,109,10,10.7
Blood Bowl 2,4176900,237540,591,21,450,93,5,17.58
Bloodborne,68390640,2318640,21951,93,6718,1534,52,29.5
Bloons TD 5,9577260,45720,16575,11,311,214,1,209.48
Bloons TD 6,18928380,91740,14203,9,276,424,2,206.33
Board Games,4739580,116460,3195,18,307,106,2,40.7
Board Games Live,4510320,38580,5936,7,95,101,0,116.91
Borderlands 2,22480080,2111880,3681,106,6670,504,47,10.64
Brawlhalla,12759540,1498140,13864,76,8354,286,33,8.52
Bully: Scholarship Edition,22907340,69420,23781,12,309,513,1,329.98
Bus Simulator 18,5708280,109680,25390,14,557,128,2,52.04
Business Tour,13826760,281760,15234,41,2471,310,6,49.07
Call of Duty: Black Ops II,5113440,889260,1169,44,3431,114,19,5.75
Call of Duty: Black Ops III,61502160,11551320,10350,452,48524,1379,259,5.32
Call of Duty: WWII,169956480,6879300,45209,335,35098,3812,154,24.71
Captain Toad: Treasure Tracker,9925140,149400,4656,28,581,222,3,66.43
Casino_old,376980240,3398460,29507,114,1421,8456,76,110.93
Celeste,18318420,713280,16584,40,1832,410,16,25.68
Chess,32557620,713580,11882,54,996,730,16,45.63
Cities: Skylines,10654620,812520,2683,42,2758,239,18,13.11
Clash of Clans,4830960,314820,1691,20,785,108,7,15.35
Clash Royale,43915020,820860,41444,43,2291,985,18,53.5
Clicker Heroes II,10043340,320640,25441,81,614,225,7,31.32
Closed Nightmare,14751000,46920,23582,28,103,330,1,314.39
Clustertruck,4642560,78600,17016,9,944,104,1,59.07
Company of Heroes 2,11617080,463500,1138,29,771,260,10,25.06
Conan Exiles,59451180,2978460,37506,127,4756,1333,66,19.96
Conventions & Seminars,10707240,6420,15756,3,16,240,0,1667.79
Counter-Strike: Global Offensive,1605751020,41463840,237413,1641,115318,36019,930,38.73
Crash Bandicoot: N. Sane Trilogy,46440660,2033640,22175,163,9808,1041,45,22.84
Creative,260097840,17891640,23175,654,34122,5834,401,14.54
Crossout,4311120,788160,1500,51,1856,96,17,5.47
Crying is not Enough,5527800,6360,27091,5,31,123,0,869.15
Crypto,7902960,496500,985,18,136,177,11,15.92
Cuisine Royale,15085140,882600,33642,52,5619,338,19,17.09
Cuphead,16901400,826740,13372,43,4657,379,18,20.44
Danganronpa V3: Killing Harmony,4274160,187260,3124,14,302,95,4,22.82
Danganronpa: Trigger Happy Havoc,7141740,248880,4054,21,437,160,5,28.7
Dark Souls,108751320,3563580,26068,178,7927,2439,79,30.52
Dark Souls II,6722100,373920,24394,24,1033,150,8,17.98
Dark Souls II: Scholar of the First Sin,15194820,1291980,3238,64,2831,340,28,11.76
Dark Souls III,108076500,5811180,17686,200,15437,2424,130,18.6
Darkest Dungeon,160540260,2987340,26247,149,6047,3601,67,53.74
Darksiders,5035560,275340,21798,29,784,112,6,18.29
Darwin Project,7339560,1103340,6627,62,3816,164,24,6.65
Dauntless,13527540,1345380,4934,68,3634,303,30,10.05
DayZ,43087320,1671300,20344,88,3606,966,37,25.78
Dead by Daylight,722128020,24328920,57513,965,37508,16198,545,29.68
Dead Cells,15498660,601020,8588,32,2571,347,13,25.79
Dead Space,9077520,294300,6061,22,1273,203,6,30.84
Deceit,36886980,1233600,41320,74,5745,827,27,29.9
Defiance 2050,7549860,1295940,25178,104,4780,169,29,5.83
Demon's Souls,14735820,76200,3366,10,122,330,1,193.38
Destiny,10983180,1036440,17868,54,4138,246,23,10.6
Destiny 2,272261400,21785400,42725,1823,40596,6107,488,12.5
Detroit: Become Human,49875540,1456440,20105,77,6250,1118,32,34.24
Devil May Cry 3: Dante's Awakening,5914920,9480,15873,3,31,132,0,623.94
Diablo II: Lord of Destruction,37520160,1171380,21245,92,1247,841,26,32.03
Diablo III: Reaper of Souls,182195280,6699720,14423,298,13220,4086,150,27.19
Dig Or Die,14536440,101400,29169,17,294,326,2,143.36
Divinity: Original Sin II,4878540,928800,4872,52,2219,109,20,5.25
Doctor Who,149710560,32640,14685,3,10,3358,0,4586.72
Dofus,7263120,453000,2429,39,780,162,10,16.03
Doki Doki Literature Club,22796340,440640,16830,27,2007,511,9,51.73
Domina,9828900,85740,7223,9,361,220,1,114.64
Don't Starve Together,16768080,1185840,13558,58,3838,376,26,14.14
Doom,10978980,1004880,4266,55,4810,246,22,10.93
Dota 2,1724815980,26346120,150725,1068,35388,38690,590,65.47
Dragon Ball FighterZ,56217000,1760220,51763,91,7719,1261,39,31.94
DragonBall Z: Dokkan Battle,7442100,411540,4427,37,874,166,9,18.08
Duck Game,4525980,95280,25589,11,823,101,2,47.5
Dungeon Fighter Online,23060700,774180,20714,50,1005,517,17,29.79
Dungeons & Dragons,95244660,2352180,43534,183,3450,2136,52,40.49
Dying Light,19027560,1485120,21906,73,5608,426,33,12.81
EA Sports UFC 3,8683140,195000,26059,16,1709,194,4,44.53
Earthfall,19638480,291480,34510,64,1597,440,6,67.38
Elite: Dangerous,11462940,1374360,841,71,2661,257,30,8.34
Empyrion: Galactic Survival,5699100,436020,3706,25,616,127,9,13.07
Enter the Gungeon,152613000,2517480,33515,205,9695,3423,56,60.62
Escape From Tarkov,271423080,8827800,53701,443,10080,6088,198,30.75
Eternal,7813620,199860,1906,16,303,175,4,39.1
Euro Truck Simulator 2,40376580,3320460,33179,203,8720,905,74,12.16
Europa Universalis IV,15377580,582720,2734,35,979,344,13,26.39
EVE Online,24997200,828120,7540,45,921,560,18,30.19
EverQuest,4301520,420960,467,28,364,96,9,10.22
Exanima,18556800,63780,29705,15,221,416,1,290.95
F1 2017,6020760,338880,10789,51,2099,135,7,17.77
Factorio,20205180,1102560,7629,54,1934,453,24,18.33
Fallen Bird,4015860,5880,15274,4,34,90,0,682.97
Fallout 3,7088340,512940,16687,29,1503,159,11,13.82
Fallout 4,50346240,6117780,20372,262,14997,1129,137,8.23
Fallout: New Vegas,40167540,1376160,12744,69,3610,901,30,29.19
Far Cry 5,13027920,1577280,24707,124,10446,292,35,8.26
Farming Simulator 17,13414440,1885080,3364,94,3268,300,42,7.12
Fate/Grand Order,16776720,687120,5907,59,1095,376,15,24.42
Fear the Wolves,15849420,195120,50132,70,1279,355,4,81.23
FIFA 17,7213500,241980,4951,18,1617,161,5,29.81
FIFA 18,151415820,8188500,18605,545,29492,3396,183,18.49
FIFA Online 4,13673220,311640,9224,27,752,306,6,43.88
Fighting EX Layer,6725580,102840,8416,13,355,150,2,65.4
Final Fantasy IV,4731120,358440,1602,81,438,106,8,13.2
Final Fantasy IX,11405700,424320,20547,24,894,255,9,26.88
Final Fantasy V,4432140,372420,1407,33,519,99,8,11.9
Final Fantasy VI,52903380,221580,151839,19,413,1186,4,238.76
Final Fantasy VII,9224160,582120,3039,31,1257,206,13,15.85
Final Fantasy X,11864520,137460,7904,12,291,266,3,86.31
Final Fantasy X/X-2 HD Remaster,5894520,850200,5278,42,1608,132,19,6.93
Final Fantasy XI Online,4178520,382320,736,26,319,93,8,10.93
FINAL FANTASY XIV Online,60105360,7139580,13824,499,9683,1348,160,8.42
Final Fantasy XV,5740080,1321920,2016,67,3744,128,29,4.34
Final Fantasy: Brave Exvius,4459620,220680,1095,21,318,100,4,20.21
Fire Emblem Fates,4165140,19620,3959,3,41,93,0,212.29
Fire Emblem Mobile,6053400,125220,2854,40,301,135,2,48.34
Football Manager 2018,17428500,822660,4243,46,1292,390,18,21.19
"Football, Tactics & Glory",5176020,25320,12047,6,79,116,0,204.42
For Honor,38493120,3718320,24977,160,11472,863,83,10.35
For the King,5506500,181620,7892,17,591,123,4,30.32
Fortnite,9125173860,484435860,827125,19495,945248,204692,10866,18.84
Fractured Lands,7745580,38280,38420,39,189,173,0,202.34
Friday the 13th: The Game,23080560,1120380,46230,208,4556,517,25,20.6
Frostpunk,6537360,340980,5618,25,1285,146,7,19.17
FTL: Faster Than Light,13497300,234540,8855,18,974,302,5,57.55
Furi,5056920,131460,12369,11,821,113,2,38.47
Games + Demos,126266040,1677000,31173,76,4814,2832,37,75.29
Gang Beasts,7101420,222120,34146,17,2046,159,4,31.97
Garry's Mod,21433440,1578600,40397,82,7423,480,35,13.58
