Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
7 Days to Die,17767260,2545740,3807,113,4954,411,59,6.98
"999: 9 Hours, 9 Persons, 9 Doors",6684780,20580,12747,4,58,154,0,324.82
A Hat in Time,15243240,205080,173228,22,812,353,4,74.33
A Story About My Uncle,9050580,28200,100835,13,181,209,0,320.94
A Way Out,7596180,526680,8362,40,2663,176,12,14.42
Age of Empires II,37725120,719220,6934,37,1627,874,16,52.45
Aggelos,4007640,11700,10340,5,41,92,0,342.53
Agony,9788520,382020,23159,92,2054,226,8,25.62
Albion Online,6308520,431340,1808,30,729,146,9,14.63
Alien: Isolation,4801920,436980,912,34,1713,111,10,10.99
Always On,140215080,555900,11700,15,26,3250,12,252.23
American Truck Simulator,8418060,779880,9674,75,2273,195,18,10.79
Amy,8668980,1620,95760,10,14,200,0,5351.22
Animaniacs,8349600,1560,95557,8,14,193,0,5352.31
APB Reloaded,5640360,642660,640,34,1173,130,14,8.78
Ardy Lightfoot,3853140,840,96239,9,11,89,0,4587.07
Arena of Valor,23006460,474900,5475,32,1206,533,11,48.44
ARK,110118720,7272960,28635,321,14588,2552,168,15.14
Arma 3,47621280,3834000,10585,278,7021,1103,88,12.42
Assassin's Creed Origins,5758800,1159200,2450,72,5712,133,26,4.97
Astroneer,9416400,332160,9258,34,1356,218,7,28.35
Axiom Verge,9952440,27960,137666,12,128,230,0,355.95
Baldi's Basics in Education and Learning,46862100,154380,38533,15,1573,1086,3,303.55
Bangai-O!,5771760,660,72359,8,8,133,0,8745.09
Banjo-Tooie,16328100,54360,104527,11,131,378,1,300.37
Barbie and the Magic of Pegasus,9821100,16200,34856,8,104,227,0,606.24
Batman Returns,8759580,1800,122241,7,17,203,0,4866.43
Battlefield 1,43419060,5141760,30358,230,18680,1006,119,8.44
Battlefield 4,17318520,2364720,40895,119,10906,401,54,7.32
Battlefield V,86357700,455640,92955,217,1952,2001,10,189.53
Battlefield: Bad Company 2,6794700,87900,31304,14,635,157,2,77.3
Battlerite,13343220,1002180,5507,58,3582,309,23,13.31
BattleTech,4573500,496800,1172,31,861,106,11,9.21
Beat Saber,22451880,1234740,12947,61,5270,520,28,18.18
Bethesda at E3,39223740,30240,388286,218,251,909,0,1297.08
Beware,5970840,17940,29324,7,243,138,0,332.82
Beyond: Two Souls,4649640,279480,3165,20,2528,107,6,16.64
Bio Miracle Bokutte Upa,7107900,2580,93161,8,10,164,0,2755
Bionic Commando,8665260,7020,96423,9,36,200,0,1234.37
Bionic Commando Rearmed 2,13673400,2340,122282,14,17,316,0,5843.33
Black Desert Online,174546180,7501140,10815,264,9284,4046,173,23.27
Black Squad,8045160,881100,8046,47,2816,186,20,9.13
