Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
60 Seconds!,7433100,31020,32289,5,234,166,0,239.62
7 Days to Die,29336880,3238380,1889,132,5608,658,72,9.06
"999: 9 Hours, 9 Persons, 9 Doors",11832780,39660,7155,7,62,265,0,298.36
A Hat in Time,5324940,292320,6146,26,1116,119,6,18.22
A Way Out,325389720,5382300,233484,1587,21244,7299,120,60.46
Act It Out XL! A Game of Charades,3181320,8460,25561,4,58,71,0,376.04
Age of Empires II,44261220,826200,8032,47,1705,992,18,53.57
Albion Online,6690240,357300,4108,29,499,150,8,18.72
Alien: Isolation,9622500,430980,5940,31,1746,215,9,22.33
Always On,55181160,617460,6109,15,20,1237,13,89.37
American Truck Simulator,8797500,615480,11323,34,1927,197,13,14.29
Arena of Valor,35547120,653580,8080,34,1005,797,14,54.39
ARK,101482500,7405140,12996,302,13761,2276,166,13.7
Arma 3,59417040,4041840,16395,278,6954,1332,90,14.7
Assassin's Creed Origins,13649340,1696080,5965,100,9262,306,38,8.05
Astroneer,4429860,582120,2713,41,2062,99,13,7.61
Attack on Titan 2,22843620,584460,30384,79,1522,512,13,39.09
Axiom Verge,3156120,35520,3673,6,133,70,0,88.85
Banjo-Kazooie,3541800,139440,986,14,342,79,3,25.4
Barbie and the Magic of Pegasus,20375040,11220,38284,4,50,457,0,1815.96
Battlefield 1,25058940,4625520,5413,219,16719,562,103,5.42
Battlefield 4,16072500,2024880,51956,104,9429,360,45,7.94
Battlerite,57842160,2213100,28200,128,7392,1297,49,26.14
BattleTech,8814960,6180,16589,5,16,197,0,1426.37
Battletoads,5590560,18060,3627,6,72,125,0,309.55
Bayonetta,3377040,262080,2491,22,934,75,5,12.89
Ben and Ed: Blood Party,3244500,19740,30452,6,132,72,0,164.36
Beyond: Two Souls,6557100,61020,4646,8,361,147,1,107.46
Bio Inc. Redemption,16447140,47640,31723,9,216,368,1,345.24
BioShock Infinite,3765600,361260,1811,25,1202,84,8,10.42
Black Desert Online,210538380,8646120,12125,272,9853,4722,193,24.35
Black Squad,3769200,941640,1481,48,2609,84,21,4
Black Survival,7740000,264960,1367,18,338,173,5,29.21
Blackwake,2928480,178440,11580,22,946,65,4,16.41
Blade and Soul,22027080,2191680,5499,110,2865,494,49,10.05
Blood Bowl 2,5522040,273180,3054,22,472,123,6,20.21
Bloodborne,131783340,8223000,14171,476,29620,2956,184,16.03
Board Games,5490840,158520,7880,17,312,123,3,34.64
Board Games Live,6691680,41880,6313,7,96,150,0,159.78
BombTag,3811200,35580,40643,9,325,85,0,107.12
Borderlands 2,24631860,2061840,4765,98,5959,552,46,11.95
Brawlhalla,6247320,1046700,24819,71,6017,140,23,5.97
Bully: Scholarship Edition,8211840,54240,11596,8,249,184,1,151.4
Burnout Paradise,7127040,239280,38279,53,1166,159,5,29.79
Business Tour,5122980,179460,8662,26,1483,114,4,28.55
Call of Duty: Black Ops II,3322860,706500,1368,42,2791,74,15,4.7
Call of Duty: Black Ops III,17759580,5310480,3175,383,25708,398,119,3.34
Call of Duty: Modern Warfare Remastered,4131600,504480,22059,35,3364,92,11,8.19
Call of Duty: WWII,148285860,5141100,39134,258,48156,3326,115,28.84
Casino_old,223929300,1298460,23349,60,1108,5023,29,172.46
Celeste,19913880,776700,6524,51,2143,446,17,25.64
Chess,57771480,679980,15126,36,882,1295,15,84.96
Chivalry: Medieval Warfare,7892880,69000,31821,10,520,177,1,114.39
Chroma Squad,2921220,33960,10644,5,99,65,0,86.02
Chrono Trigger,4609560,246840,1686,28,539,103,5,18.67
Chuchel,14647260,69480,37133,16,545,328,1,210.81
Cities: Skylines,11253000,739020,3904,43,2555,252,16,15.23
Clash of Clans,3253020,273780,378,20,587,72,6,11.88
Clash Royale,50870700,945660,19491,54,2608,1141,21,53.79
Company of Heroes 2,8486880,416520,5719,26,774,190,9,20.38
Corruption,2701380,3600,11331,3,16,60,0,750.38
Counter-Strike: Global Offensive,1684693560,47402280,490657,2336,121083,37790,1063,35.54
Crash Bandicoot: N. Sane Trilogy,2857200,156240,11554,14,1976,64,3,18.29
Creative,267101220,17895660,21502,659,33251,5991,401,14.93
Crossout,3185760,702720,414,36,1623,71,15,4.53
Cuphead,4958340,735840,2398,46,4107,111,16,6.74
Danganronpa 2: Goodbye Despair,9796020,149520,5697,14,228,219,3,65.52
Dark Souls,39668880,1664760,10404,89,3960,889,37,23.83
Dark Souls II,5602740,278460,3321,19,818,125,6,20.12
Dark Souls II: Scholar of the First Sin,22810380,1232220,9090,67,2993,511,27,18.51
Dark Souls III,96559860,6211920,15677,240,17020,2165,139,15.54
Darkest Dungeon,13696800,767940,4097,43,2280,307,17,17.84
Darksiders,6399180,109620,6574,11,341,143,2,58.38
Darksiders II,4500540,196680,5908,17,685,100,4,22.88
Darwin Project,163402620,3309960,200629,311,9422,3665,74,49.37
Dauntless,6186600,598680,1031,39,1438,138,13,10.33
DayZ,43706580,1842480,35848,97,2946,980,41,23.72
Dead by Daylight,245760480,12748080,16458,470,21545,5512,285,19.28
Dead Cells,8368800,509220,28722,37,2078,187,11,16.43
Dead Rising 4,3468600,63900,802,7,176,77,1,54.28
Dead Space,8758140,411840,17624,31,1847,196,9,21.27
Dead Space 2,2846460,180300,4831,15,718,63,4,15.79
Death Coming,8471580,13440,14880,5,72,190,0,630.33
Deceit,10146600,784680,10705,48,3800,227,17,12.93
Deep Rock Galactic,24601560,887640,50328,97,3154,551,19,27.72
Demon's Souls,8669820,109200,9087,11,167,194,2,79.39
Destiny,6939960,1513680,2441,101,5939,155,33,4.58
Destiny 2,89010780,9481920,17524,775,20175,1996,212,9.39
Detective Pikachu,3633240,43320,2262,21,149,81,0,83.87
Devil May Cry 4: Special Edition,2753820,126960,3947,13,704,61,2,21.69
Devil May Cry HD Collection,14184900,497760,16176,71,2526,318,11,28.5
Diablo II: Lord of Destruction,18688200,732660,3166,37,973,419,16,25.51
Diablo III: Reaper of Souls,72035340,7275660,5103,412,14469,1615,163,9.9
Dissidia: Final Fantasy Opera Omnia,2906640,148080,1312,13,196,65,3,19.63
Divinity: Original Sin II,5200140,794640,2755,43,1999,116,17,6.54
Dofus,6685440,392640,3157,25,656,149,8,17.03
Doki Doki Literature Club,9275640,683640,5822,43,2996,208,15,13.57
Domina,5577180,88200,21706,11,479,125,1,63.23
Donkey Kong 64,3719940,73020,3323,10,142,83,1,50.94
Don't Starve Together,7485840,896400,3007,45,3123,167,20,8.35
Doom,3731220,647280,6729,35,3253,83,14,5.76
Dota 2,2406623640,25281600,397940,1473,34579,53984,567,95.19
