Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
60 Seconds!,4052460,40500,9110,10,402,90,0,100.06
7 Days to Die,25299120,2859660,7885,140,5338,567,64,8.85
A Hat in Time,6840180,208380,4990,18,809,153,4,32.83
A Way Out,11196360,865260,14425,59,4319,251,19,12.94
Age of Empires II,40460280,756360,9564,42,1701,907,16,53.49
Agony,29230260,407520,47635,342,2415,655,9,71.73
Albion Online,8554380,595260,2193,42,1072,191,13,14.37
Alien: Isolation,7918800,582060,3572,37,2232,177,13,13.6
Always On,152458620,531120,14751,15,28,3419,11,287.05
American Truck Simulator,9652680,686940,10871,39,2000,216,15,14.05
Amnesia: The Dark Descent,3980940,198180,7129,20,1293,89,4,20.09
Ancestors Legacy,3709860,101760,6840,41,352,83,2,36.46
Angels of Death,3143880,13320,6334,5,52,70,0,236.03
Animal Super Squad,3649500,17460,15828,8,145,81,0,209.02
APB Reloaded,4490700,525480,1683,35,1093,100,11,8.55
ArcheAge,4173600,442500,1390,47,734,93,9,9.43
Arena of Valor,34732980,573060,15070,39,1315,779,12,60.61
ARK,83029500,6034140,9528,254,12129,1862,135,13.76
Arma 3,62069760,4258380,11085,270,7343,1392,95,14.58
Assassin's Creed Origins,6777900,823440,2774,42,4872,152,18,8.23
Baldi's Basics in Education and Learning,3513300,10140,13608,11,147,78,0,346.48
Banjo-Kazooie,5776440,188940,1117,18,404,129,4,30.57
Barbie and the Magic of Pegasus,17637720,12840,33769,7,84,395,0,1373.65
Batman: Arkham Knight,2853840,336600,1712,25,1262,64,7,8.48
Battlefield 1,49384260,4539600,234047,316,17994,1107,101,10.88
Battlefield 3,2913180,243600,1458,24,1459,65,5,11.96
Battlefield 4,10469940,2341020,2148,119,10923,234,52,4.47
Battlerite,24055680,1680900,7275,74,5394,539,37,14.31
BattleTech,35651100,1716960,13265,155,2533,799,38,20.76
Beat Saber,38225640,1079520,36416,86,4939,857,24,35.41
Ben and Ed: Blood Party,4367940,16980,17756,7,115,97,0,257.24
Beyond: Two Souls,7328280,588840,1935,35,7774,164,13,12.45
BioShock,3925260,333240,2024,29,1315,88,7,11.78
BioShock Infinite,4123140,274020,3165,18,1006,92,6,15.05
Black Desert Online,211573740,8104800,9941,377,10135,4745,181,26.1
Black Squad,12101580,1107060,15718,61,3002,271,24,10.93
Black Survival,4329660,143340,365,12,202,97,3,30.21
Blade and Soul,19961100,1960200,4712,92,2755,447,43,10.18
BlazBlue Cross Tag Battle,17587920,310620,9948,71,1200,394,6,56.62
Bless Online,158368920,2593140,203056,1457,5705,3552,58,61.07
Blood Bowl 2,4697400,250560,899,23,460,105,5,18.75
Bloodborne,39099300,2672940,7025,109,7981,877,59,14.63
Bloodstained: Curse of the Moon,8511720,348540,8228,127,1733,190,7,24.42
Board Games,10508100,120180,9142,14,290,235,2,87.44
Board Games Live,8389680,40620,4346,7,89,188,0,206.54
Borderlands,4042380,278520,1738,20,922,90,6,14.51
Borderlands 2,26403300,1985100,10069,119,6526,592,44,13.3
Borderlands: The Pre-Sequel!,2895000,177720,1650,14,790,64,3,16.29
Brawlhalla,7405680,1167060,7460,60,7137,166,26,6.35
Breath of Fire,4647000,11940,14312,6,28,104,0,389.2
Burnout Paradise,3006660,42720,16545,6,300,67,0,70.38
Business Tour,3534240,157920,9177,18,1469,79,3,22.38
Call of Duty: Black Ops 4,28028400,96600,374348,245,474,628,2,290.15
Call of Duty: Black Ops II,3957420,716340,2197,40,3131,88,16,5.52
Call of Duty: Black Ops III,28257540,6308940,3049,405,30322,633,141,4.48
Call of Duty: Modern Warfare Remastered,4812240,526620,1792,34,3461,107,11,9.14
Call of Duty: WWII,131440140,5366160,55715,239,40170,2948,120,24.49
Casino_old,292431180,1794000,28447,93,1265,6559,40,163.01
Castlevania: Portrait of Ruin,2937000,4860,5160,1,12,65,0,604.32
Celeste,9940560,379920,12506,25,1240,222,8,26.16
Chess,28907580,718680,8146,46,919,648,16,40.22
Chrono Trigger,9096720,185940,19665,15,417,204,4,48.92
Cities: Skylines,40850880,1125780,10835,70,3638,916,25,36.29
City of Brass,4760100,60360,40613,15,435,106,1,78.86
Clash Royale,36567540,823140,16595,43,2501,820,18,44.42
Clue,3778860,4500,26233,5,36,84,0,839.75
Company of Heroes 2,12726360,457620,1716,26,745,285,10,27.81
Conan Exiles,336097620,12081840,89655,712,17505,7539,271,27.82
Conventions & Seminars,2881560,1440,8350,2,3,64,0,2001.08
Cookie Run: OvenBreak,9980820,12480,12119,3,53,223,0,799.75
Counter-Strike: Global Offensive,1585767120,36747420,242438,1566,103243,35571,824,43.15
Creative,252881280,17315760,20131,624,32806,5672,388,14.6
Crossout,4465860,767760,4201,39,1565,100,17,5.82
Crusader Kings II,4142220,237660,8759,17,621,92,5,17.43
Crypto,5920380,303360,411,13,99,132,6,19.52
Cuphead,6485820,581460,1133,34,3453,145,13,11.15
Dark Souls,359867760,6330300,103455,871,14997,8072,141,56.85
Dark Souls II,3729480,227460,2700,17,730,83,5,16.4
Dark Souls II: Scholar of the First Sin,22142820,1138020,9335,59,2872,496,25,19.46
Dark Souls III,77880840,5005380,18369,184,14232,1746,112,15.56
Darkest Dungeon,35837520,1082280,15151,53,2774,803,24,33.11
Darwin Project,61884180,4530480,133712,233,14138,1388,101,13.66
Dauntless,67772820,5268540,40962,907,15625,1520,118,12.86
DayZ,127926000,2237280,79522,198,4952,2869,50,57.18
Dead by Daylight,292254540,14089080,34931,647,24224,6555,316,20.74
Dead Cells,11887260,465720,7880,28,2109,266,10,25.52
Dead Space,5045340,283680,3248,20,1293,113,6,17.79
Dead Space 2,3373980,152040,2267,15,1106,75,3,22.19
Dead Space 3,10990200,158040,18923,13,653,246,3,69.54
Deadpool,5793000,138840,8915,15,660,129,3,41.72
Deathgarden,27560460,353460,56052,161,1510,618,7,77.97
Deceit,8670540,730140,8190,48,3902,194,16,11.88
Deep Rock Galactic,4367220,285420,10638,35,1292,97,6,15.3
Demon's Souls,11817960,86700,6587,9,190,265,1,136.31
Destiny,4553940,997080,1522,67,4112,102,22,4.57
Destiny 2,422112960,30846780,67071,4991,55443,9468,691,13.68
Detroit: Become Human,565958400,3794520,236767,856,16222,12695,85,149.15
Diablo II: Lord of Destruction,22796460,723720,15471,35,1119,511,16,31.5
Diablo III: Reaper of Souls,30788700,3058380,6138,132,7510,690,68,10.07
Divinity: Original Sin II,14128560,1077480,16363,56,2445,316,24,13.11
Doctor Who,28086300,30540,15497,5,20,630,0,919.66
Dofus,18930480,687840,5907,42,1021,424,15,27.52
Doki Doki Literature Club,3848100,351300,5535,22,1666,86,7,10.95
Donkey Kong 64,7151340,75660,23427,10,168,160,1,94.52
Donkey Kong Country: Tropical Freeze,23170500,458280,35683,74,1445,519,10,50.56
Don't Starve Together,8327520,920100,5045,60,3476,186,20,9.05
Doom,6404340,634680,4662,38,3431,143,14,10.09
Dota 2,2343866160,25640460,363879,1210,33916,52576,575,91.41
Dragon Ball FighterZ,84651300,2011380,56869,201,8476,1898,45,42.09
Dragon Quest VIII: Journey of the Cursed King,6586200,50220,15864,7,68,147,1,131.15
Dragon Warrior III,3066720,28260,10597,5,42,68,0,108.52
Duelyst,2933160,87540,221,7,149,65,1,33.51
Dungeon Fighter Online,4087500,481200,6786,25,606,91,10,8.49
Dungeon Hunter Champions,12174600,313620,21603,24,369,273,7,38.82
Dungeons & Dragons,95493120,2251500,45977,182,3304,2142,50,42.41
Dying Light,22125060,940260,21343,44,4409,496,21,23.53
EA Sports UFC 3,3024180,124500,8260,10,1604,67,2,24.29
Elite: Dangerous,9537300,1320660,1021,75,2496,213,29,7.22
Enter the Gungeon,5325360,493800,4266,34,2256,119,11,10.78
Escape First,2865600,10500,8172,6,82,64,0,272.91
Escape From Tarkov,241763100,9630120,23997,420,10592,5423,216,25.1
Eternal,3856560,176760,2631,14,258,86,3,21.82
Euro Truck Simulator 2,25772160,3354600,12823,232,7972,578,75,7.68
Europa Universalis IV,17088720,601440,5910,34,964,383,13,28.41
EVE Online,18856560,748440,5701,42,1046,422,16,25.19
EverQuest,4072080,458940,381,32,374,91,10,8.87
F1 2017,14159040,382140,11140,54,2357,317,8,37.05
Factorio,12019200,1102680,4179,56,2186,269,24,10.9
Fallout,10027740,71040,10017,10,287,224,1,141.16
Fallout 2,8646480,68400,9480,8,161,193,1,126.41
Fallout 4,35702100,3610560,10217,202,9981,800,80,9.89
Fallout: New Vegas,21031080,795060,18401,51,2560,471,17,26.45
Far Cry 5,24829560,3144300,6906,189,18716,556,70,7.9
FAR: Lone Sails,24038340,208980,33860,57,1212,539,4,115.03
Farming Simulator 17,11340420,1624740,2069,88,2828,254,36,6.98
Fate/Grand Order,9373260,494040,3093,38,819,210,11,18.97
FIFA 17,3739500,208260,360,15,1259,83,4,17.96
FIFA 18,427209420,10497780,87840,1216,36954,9582,235,40.7
FIFA Online 4,20356080,190260,29315,51,496,456,4,106.99
Final Fantasy IV,5359320,174420,9512,30,296,120,3,30.73
Final Fantasy IX,3540000,388080,1315,24,766,79,8,9.12
Final Fantasy VI,5028900,182160,10489,15,343,112,4,27.61
Final Fantasy VII,12545940,554700,3835,28,1146,281,12,22.62
Final Fantasy VIII,10480320,265800,14225,18,455,235,5,39.43
Final Fantasy X/X-2 HD Remaster,4239240,731820,701,36,1401,95,16,5.79
Final Fantasy XI Online,4543020,467460,572,33,434,101,10,9.72
FINAL FANTASY XIV Online,62201400,6221700,16882,520,9214,1395,139,10
Final Fantasy XV,9276360,1276140,11021,63,3651,208,28,7.27
Final Fantasy: Brave Exvius,3624420,179820,1048,19,313,81,4,20.16
Fire Emblem Mobile,6233580,138480,2275,17,338,139,3,45.01
Fire Emblem: Path of Radiance,4729860,53760,14214,6,118,106,1,87.98
Football Manager 2018,14063160,652500,4657,42,921,315,14,21.55
For Honor,61563120,2828400,34118,187,9104,1380,63,21.77
For the King,22674240,528360,23487,42,1509,508,11,42.91
Forgotton Anne,3346200,86220,29143,23,303,75,1,38.81
Fortnite,8676139560,458744340,576926,18000,930299,194619,10290,18.91
Forza Horizon 3,3149520,717780,2208,44,3827,70,16,4.39
Forza Motorsport 7,6983880,450540,15456,28,1788,156,10,15.5
Friday the 13th: The Game,15471180,1825080,7656,189,6579,347,40,8.48
Frostpunk,72453120,2042040,40514,264,6396,1625,45,35.48
FTL: Faster Than Light,6833640,209520,2485,14,847,153,4,32.62
Furi,3233220,86640,8993,9,613,72,1,37.32
Game Dev Tycoon,3436800,52920,4247,8,355,77,1,64.94
Games + Demos,105790800,1432260,24684,65,4323,2373,32,73.86
Gang Beasts,5700900,191880,30643,25,2042,127,4,29.71
Garry's Mod,10496100,1046220,6651,71,5160,235,23,10.03
Gartic,4364100,77940,8903,14,819,97,1,55.99
Gears of War 4,17558760,1515480,12039,95,4298,393,33,11.59
GeoGuessr,5175000,75480,5932,10,456,116,1,68.56
Geometry Dash,3425760,532380,1450,34,2370,76,11,6.43
Getting Over It,7863360,259920,13984,17,1663,176,5,30.25
Girls Frontline,11636400,522600,2448,62,615,261,11,22.27
God of War,232671660,17245380,31601,1415,42225,5219,386,13.49
Golf It!,9461880,129720,28493,16,1193,212,2,72.94
Golf With Your Friends,7411800,432060,17204,40,3555,166,9,17.15
Golfing Over It with Alva Majo,6969360,52140,14943,12,439,156,1,133.67
Gothic 3,3102600,44100,1822,5,83,69,0,70.35
Gothic II: Night of the Raven,4875840,122100,762,12,148,109,2,39.93
Gran Turismo Sport,3381900,187620,4758,17,501,75,4,18.03
Granblue Fantasy,4344000,341760,633,40,599,97,7,12.71
Grand Theft Auto IV,3597240,159660,9871,15,576,80,3,22.53
Grand Theft Auto V,700719780,18417420,76870,881,44093,15718,413,38.05
Grand Theft Auto: San Andreas,17019660,677700,4575,37,2301,381,15,25.11
Grand Theft Auto: Vice City,6454560,160500,3459,13,575,144,3,40.22
Graveyard Keeper,34887720,206520,28283,58,589,782,4,168.93
Grim Dawn,6981900,451200,1982,26,800,156,10,15.47
Guild Wars 2,26821260,2158020,3056,108,3723,601,48,12.43
Guilty Gear Xrd REV 2,9115500,162180,10929,13,620,204,3,56.21
Guitar Hero III: Legends of Rock,13210800,659580,3638,36,2487,296,14,20.03
Gwent: The Witcher Card Game,85550880,1209900,34742,61,1810,1919,27,70.71
Half-Life 2,2961120,146640,4026,14,735,66,3,20.19
Halo 5: Guardians,12398340,1786080,2129,92,4728,278,40,6.94
Halo: The Master Chief Collection,9592680,882060,3191,57,2655,215,19,10.88
Hand Simulator,2919840,64020,26880,8,788,65,1,45.61
Harry Potter and the Philosopher's Stone,4384140,44520,6189,6,156,98,0,98.48
Hearthstone,2023873500,12189180,95676,483,27186,45398,273,166.04
Hearts of Iron IV,8041680,506460,4729,37,1311,180,11,15.88
Heavy Rain,6586440,152340,4491,16,988,147,3,43.24
Heroes of Might and Magic III: The Shadow of Death,23743080,332940,5291,26,380,532,7,71.31
Heroes of Might and Magic V: Tribes of the East,2877420,61020,4925,10,83,64,1,47.16
Heroes of Newerth,10889640,503520,837,28,716,244,11,21.63
Heroes of the Storm,220958940,8396280,27139,303,14526,4956,188,26.32
HITMAN,5730000,227400,3501,18,1417,128,5,25.2
Holdfast: Nations At War,3209340,38340,6482,8,202,71,0,83.71
Hollow Knight,11778900,728520,4342,42,1978,264,16,16.17
Horizon Zero Dawn,5786100,1108380,4658,57,3193,129,24,5.22
House Flipper,87722100,1334580,33266,147,4373,1967,29,65.73
Human: Fall Flat,3893520,193080,6481,17,1772,87,4,20.17
Hunt: Showdown,36547860,1311780,48180,68,2888,819,29,27.86
Hyrule Warriors,5312580,469980,2878,95,1089,119,10,11.3
I Wanna Be The Boshy,6630000,41880,3316,6,165,148,0,158.31
I Wanna Be The Guy,3490140,203820,618,14,250,78,4,17.12
Independence Day,5057340,1140,17139,4,5,113,0,4436.26
Infestation: The New Z,37948320,939120,3049,42,1140,851,21,40.41
Injustice 2,10740720,385620,11538,23,1941,240,8,27.85
Inked,6102420,7860,20480,8,38,136,0,776.39
iRacing.com,13583340,1134480,2021,153,1533,304,25,11.97
IRL,2439916080,33517020,247304,1135,97063,54731,751,72.8
IRONSIGHT,9695220,1236960,33841,67,4543,217,27,7.84
Jikkyou Powerful Pro Yakyuu 2018,16319040,91620,7703,12,97,366,2,178.12
Judgment: Apocalypse Survival Simulation,14498220,122520,25847,21,283,325,2,118.33
Just Dance 2018,14337420,122820,6076,12,498,321,2,116.74
Kartrider,6799620,175860,4699,20,557,152,3,38.66
Kerbal Space Program,10431480,595560,2972,41,1599,233,13,17.52
Killing Floor 2,3676380,812520,3482,46,3980,82,18,4.52
Kingdom Come: Deliverance,4536420,578640,3808,34,1712,101,12,7.84
Kingdom Hearts HD I.5 + II.5 Remix,14812920,832080,17436,59,1628,332,18,17.8
Knight Online,10485240,310440,1687,26,424,235,6,33.78
Knives Out,3073080,256380,6677,21,754,68,5,11.99
Lake Ridden,9797820,64560,32583,27,247,219,1,151.76
Laser League,8301000,226080,35521,36,1153,186,5,36.72
League of Legends,4925300340,86544180,504394,2820,140412,110482,1941,56.91
Left 4 Dead 2,11760900,1054860,12810,60,4992,263,23,11.15
Legend of Legaia,4331220,30180,12104,5,53,97,0,143.51
Legend of Mana,4130640,13500,11571,3,32,92,0,305.97
Life Is Strange,3064560,419340,1411,25,1678,68,9,7.31
Lightning Returns: Final Fantasy XIII,4360200,37620,16836,8,74,97,0,115.9
Lineage 2: Revolution,4114080,246120,813,20,376,92,5,16.72
Lineage II,66221400,2288460,5853,147,1756,1485,51,28.94
Little Nightmares,2952540,164220,4644,14,939,66,3,17.98
Lobotomy Corporation | Monster Management Simulation,7813500,167700,7311,18,355,175,3,46.59
Lost Ark Online,18720300,784140,19294,257,746,419,17,23.87
Lunar: The Silver Star,4473720,6360,17388,4,10,100,0,703.42
M.U.G.E.N,18057540,123420,620,6,77,405,2,146.31
Mad Games Tycoon,3499620,18060,10944,4,91,78,0,193.78
Madden NFL 18,15344820,4666140,3727,314,14050,344,104,3.29
Mafia II,4470660,87600,5929,12,317,100,1,51.03
Magic: The Gathering,190003500,2947140,20167,128,4435,4262,66,64.47
MapleStory,26367660,1673520,2813,80,2398,591,37,15.76
MapleStory 2,25982100,1027320,34595,670,2509,582,23,25.29
Mario & Luigi: Partners in Time,3405360,8580,11625,4,22,76,0,396.9
Mario & Luigi: Superstar Saga,6091620,24240,6553,6,74,136,0,251.3
Mario Kart 8,28800780,845940,34708,57,2993,646,18,34.05
Mario Party 2,4220340,36180,3131,7,178,94,0,116.65
Mario Party 4,3674700,27120,9853,5,151,82,0,135.5
Marvel vs. Capcom Infinite,6222180,60300,6425,7,567,139,1,103.19
MechWarrior Online,10445460,711720,902,37,1002,234,15,14.68
Mega Man X,6589920,134280,3302,13,438,147,3,49.08
Metal Gear Solid V: The Phantom Pain,3787980,900120,4028,67,3947,84,20,4.21
Metin 2,12846060,778920,1478,47,1159,288,17,16.49
Microsoft Flight Simulator X,13679640,1078320,3188,64,1261,306,24,12.69
Might & Magic: Elemental Guardians,2830020,54420,761,9,90,63,1,52
Minecraft,184469580,12808020,16149,544,38700,4137,287,14.4
Miscreated,2943300,349860,3577,25,942,66,7,8.41
MLB The Show 18,31694760,809100,7965,46,3730,710,18,39.17
Monster Hunter World,53837940,3546360,7675,291,16633,1207,79,15.18
Monster Prom,4378500,271140,33485,42,1468,98,6,16.15
Moonlighter,46017180,631560,30600,273,2326,1032,14,72.86
Mortal Kombat X,6952440,505440,9138,32,3121,155,11,13.76
Mount & Blade: Warband,58128000,444240,12312,26,1355,1303,9,130.85
Move or Die,3241920,23280,13517,5,226,72,0,139.26
MU Legend,6872160,256740,9231,26,489,154,5,26.77
Murderous Pursuits,4131060,32160,15705,7,250,92,0,128.45
Music & Performing Arts,283278480,9025980,19525,268,9876,6354,202,31.38
My Summer Car,5582940,163080,4023,16,537,125,3,34.23
NBA 2K18,100403820,6851880,17632,341,20414,2252,153,14.65
Neverwinter,5248020,803040,1027,40,1594,117,18,6.54
NHL 17,3020040,49320,160,4,163,67,1,61.23
NHL 18,6775980,368460,23349,30,2836,151,8,18.39
Ni no Kuni II: Revenant Kingdom,4156140,469980,2975,27,1658,93,10,8.84
Ni no Kuni: Wrath of the White Witch,4570500,48240,13227,6,80,102,1,94.75
NieR Automata,11486040,989400,15731,55,4292,257,22,11.61
Night in the Woods,5515080,72480,10235,9,311,123,1,76.09
Ninja Gaiden,4263540,50040,2266,8,90,95,1,85.2
Nioh,4577340,634140,1791,35,1428,102,14,7.22
Northgard,16059000,230160,17243,25,806,360,5,69.77
One Piece Treasure Cruise,5922480,154800,1401,13,202,132,3,38.26
OneShot,6657000,36420,6947,5,138,149,0,182.78
Open Transport Tycoon Deluxe,2874660,18900,2811,5,61,64,0,152.1
