Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
A Way Out,5005020,266580,10853,29,1294,116,6,18.77
Absinth,2826240,3900,22110,3,27,65,0,724.68
Age of Empires II,44515440,789540,13929,52,1761,1031,18,56.38
Aion,4340280,564720,426,28,688,100,13,7.69
Akane,3023160,4980,27103,3,38,70,0,607.06
Albion Online,2896080,199020,492,32,382,67,4,14.55
Alien: Isolation,8569980,574920,3098,125,2252,198,13,14.91
Always On,180844200,572100,21755,19,43,4192,13,316.11
American Truck Simulator,8503740,894060,6660,72,2714,197,20,9.51
Amnesia: The Dark Descent,3563460,280260,6598,133,1672,82,6,12.71
Arena of Valor,10814820,477480,4820,24,1092,250,11,22.65
ARK,267293220,12359400,44680,765,15470,6195,286,21.63
Arma 3,31959420,2627700,11358,222,5066,740,60,12.16
Art,289899480,12000900,25896,475,22526,6719,278,24.16
Artifact,337668540,3018360,67321,1590,7694,7827,69,111.87
ASMR,149111340,1629300,9677,54,1352,3456,37,91.52
Assassin's Creed Odyssey,51952800,4412940,15965,212,13533,1204,102,11.77
Astroneer,4070640,307920,9332,24,1085,94,7,13.22
Azur Lane,5029620,259320,4159,20,479,116,6,19.4
Bad North,13270080,106740,10454,15,549,307,2,124.32
Banjo-Kazooie,3287280,119760,1376,12,331,76,2,27.45
Banjo-Tooie,2867640,70200,578,10,126,66,1,40.85
Barbie and the Magic of Pegasus,4155660,15300,18507,4,59,96,0,271.61
Battle Brothers,5692080,130380,1000,27,187,131,3,43.66
Battlefield 1,11482920,3258060,2669,241,15386,266,75,3.52
Battlefield 4,3342060,1075440,658,71,5118,77,24,3.11
Battlefield V,499377600,15136800,89149,1160,46471,11575,350,32.99
Battlerite,6559500,745140,7438,44,2458,152,17,8.8
Battlerite Royale,59990160,1368000,17948,142,3259,1390,31,43.85
Beat Saber,15840780,1459260,5660,98,6834,367,33,10.86
Beauty & Body Art,4318980,156240,2040,34,743,100,3,27.64
Bendy and the Ink Machine,3719940,169020,3029,59,1028,86,3,22.01
BioShock,3707640,288360,3856,22,1168,85,6,12.86
Black Desert Online,146305080,6591780,12596,265,8123,3391,152,22.2
Black Squad,3851400,854100,397,49,2089,89,19,4.51
Black Survival,3451380,175380,377,17,186,80,4,19.68
Blade and Soul,13623600,1359840,3390,83,2001,315,31,10.02
