Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
7 Days to Die,24026460,2802780,1860,135,4853,538,62,8.57
A Gummy's Life,6165900,1800,26462,4,19,138,0,3425.5
A Hat in Time,4609500,339240,5746,29,1418,103,7,13.59
Age of Empires II,38457720,743760,11353,39,1496,862,16,51.71
Aion,4881360,578100,754,35,784,109,12,8.44
Alan Wake,3738240,303720,2855,52,1090,83,6,12.31
Albion Online,3606120,199500,624,16,357,80,4,18.08
Alien: Isolation,18050040,1028640,4410,137,3456,404,23,17.55
Alundra,6824280,10800,5010,2,17,153,0,631.88
Always On,331466100,785580,27321,21,64,7435,17,421.94
American Truck Simulator,12189600,1348920,3328,140,3377,273,30,9.04
Amnesia: The Dark Descent,11986860,609540,17191,114,3061,268,13,19.67
Angvik,3252840,53760,3249,11,247,72,1,60.51
Arena of Valor,23379540,724080,7552,37,1536,524,16,32.29
ARK,91079940,6168000,6581,285,7486,2043,138,14.77
Arma 3,43555980,3139860,14350,240,5707,977,70,13.87
Art,229606680,11813400,25259,442,21509,5150,264,19.44
Ascendant One,4775220,40920,10301,5,41,107,0,116.7
ASMR,161823900,1504020,12744,52,1854,3629,33,107.59
Assassin's Creed Odyssey,823655280,16107900,105475,1221,34860,18475,361,51.13
Assassin's Creed Origins,4098780,855180,1147,51,4893,91,19,4.79
Astroneer,8898180,296280,12197,23,930,199,6,30.03
Azur Lane,6996300,377820,647,31,598,156,8,18.52
Barbie Horse Adventures: Riding Camp,4497300,2700,24258,5,22,100,0,1665.67
Battlefield 1,20538360,4385580,3368,214,15751,460,98,4.68
Battlefield 4,5046660,1512480,777,75,6739,113,33,3.34
Battlerite,5837100,885360,2757,44,3284,130,19,6.59
Battlerite Royale,209677680,3535500,35439,232,7509,4703,79,59.31
Beat Saber,14119860,1152060,4920,57,4491,316,25,12.26
Beauty & Body Art,14643780,242880,5400,52,1270,328,5,60.29
BioShock,3224220,343800,3217,25,1297,72,7,9.38
Black Desert Mobile,3168480,109620,3553,11,111,71,2,28.9
Black Desert Online,148906740,6280320,14491,221,7516,3340,140,23.71
Black Squad,4822680,1023360,560,51,2501,108,22,4.71
Blade and Soul,16744620,1696980,2621,83,2405,375,38,9.87
BlazBlue Cross Tag Battle,4481100,288240,5050,23,1022,100,6,15.55
Blood Bowl 2,5267460,313560,995,25,507,118,7,16.8
Bloodborne,39562380,2129520,9414,92,6017,887,47,18.58
Board Games,13054560,132120,7700,15,347,292,2,98.81
Board Games Live,3151860,33240,6602,7,86,70,0,94.82
BombTag,5721360,11640,40081,3,125,128,0,491.53
Borderlands 2,16770480,1423440,1734,73,4197,376,31,11.78
Brawlhalla,9397080,1340100,39215,71,7666,210,30,7.01
Breathedge,3527340,74580,10801,11,494,79,1,47.3
Call of Cthulhu - The Video Game,53860680,735480,64344,538,2965,1208,16,73.23
Call of Duty: Black Ops 4,3809826180,104310780,449597,13323,322306,85460,2339,36.52
Call of Duty: Black Ops II,3217140,752880,648,44,3671,72,16,4.27
Call of Duty: Black Ops III,31689900,5361120,7933,396,29058,710,120,5.91
Call of Duty: WWII,12267060,1726740,2897,170,17255,275,38,7.1
CardLife,16549800,111840,23117,26,432,371,2,147.98
Casino,1127141460,2506680,111963,112,2368,25283,56,449.66
Casino!,9771960,22320,1063,3,38,219,0,437.81
Castlevania: Symphony of the Night,4729560,153480,3854,17,512,106,3,30.82
Celeste,8489820,290100,6384,19,809,190,6,29.27
Chess,67759440,737340,12905,56,977,1519,16,91.9
Cities: Skylines,26348640,1103220,8937,96,3671,591,24,23.88
Clash of Clans,4663080,332640,584,21,713,104,7,14.02
Clash Royale,21850920,771540,8010,40,2273,490,17,28.32
Company of Heroes 2,7817040,471180,868,30,750,175,10,16.59
Conan Exiles,13291260,1488900,2490,68,2405,298,33,8.93
Counter-Strike: Global Offensive,1452263400,43199160,221263,1958,113472,32576,969,33.62
Crash Bandicoot: N. Sane Trilogy,4158840,284340,1982,19,2244,93,6,14.63
Creative Destruction,14576880,1450620,40147,75,5029,326,32,10.05
CrossCode,14317620,474120,16151,36,869,321,10,30.2
Crossout,4429920,630120,647,36,1304,99,14,7.03
Crypto,24098340,921840,5132,29,165,540,20,26.14
Cube Escape: Paradox,3697980,58860,7458,10,344,82,1,62.83
Cuphead,4104960,441840,3913,32,2784,92,9,9.29
Cypher,3460980,13980,6973,4,28,77,0,247.57
Dark and Light,12332040,439800,7117,29,591,276,9,28.04
Dark Souls,36624900,1636800,12864,88,3953,821,36,22.38
Dark Souls II: Scholar of the First Sin,9161340,838380,3021,43,2047,205,18,10.93
Dark Souls III,55026480,3627300,81245,149,10002,1234,81,15.17
Darkest Dungeon,17127360,1018320,15146,57,2744,384,22,16.82
Darkwood,7970520,195480,14126,21,676,178,4,40.77
Darwin Project,4508820,645120,2279,51,2023,101,14,6.99
Dauntless,6215640,666960,2708,56,1764,139,14,9.32
DayZ,39023940,1636080,21671,85,2770,875,36,23.85
DCS World,4261680,276120,1484,23,551,95,6,15.43
Dead by Daylight,715640760,29643660,79461,1360,53653,16052,664,24.14
Dead Cells,16093440,899100,6019,51,3944,361,20,17.9
Dead Space,11599620,651240,7628,63,2220,260,14,17.81
Dead Space 2,5274300,289440,2292,27,1032,118,6,18.22
Dead Space 3,4154940,235500,3025,24,835,93,5,17.64
Deceit,9123720,772020,5410,93,4118,204,17,11.82
Deep Sky Derelicts,3060180,50280,13062,7,135,68,1,60.86
Deliver Us The Moon,8004120,40560,23636,11,204,179,0,197.34
Desert Bus,7911840,15180,7479,5,57,177,0,521.2
Destiny 2,433291440,35175180,46321,2053,60325,9719,789,12.32
Detroit: Become Human,8142780,310860,3232,24,2298,182,6,26.19
Diablo II: Lord of Destruction,45187380,709140,72041,32,997,1013,15,63.72
Diablo III: Reaper of Souls,52391940,4830120,4836,247,10373,1175,108,10.85
DiRT Rally,3519840,161940,5025,15,941,78,3,21.74
Divinity: Original Sin II,24080940,1311960,9946,63,2654,540,29,18.35
Dofus,14252520,598920,7193,38,921,319,13,23.8
Doki Doki Literature Club,4321560,318480,1463,38,1324,96,7,13.57
Donkey Kong Country: Tropical Freeze,16071360,33660,68273,10,129,360,0,477.46
Don't Starve,6320640,279060,3240,40,964,141,6,22.65
Don't Starve Together,32326860,1383420,5104,70,3346,725,31,23.37
Doom,6451380,739080,4749,45,3767,144,16,8.73
Dota 2,2115616860,27109200,211365,1313,34965,47456,608,78.04
Dragalia Lost,27104340,601140,6702,48,837,607,13,45.09
Dragon Ball FighterZ,66913680,1849020,30606,103,7632,1500,41,36.19
Dragon Quest XI,30655920,1539720,10762,91,2159,687,34,19.91
DragonBall Z: Dokkan Battle,7720980,175980,10834,17,434,173,3,43.87
Dreadnought,3233640,218040,5594,27,596,72,4,14.83
Dungeon Fighter Online,7619760,461940,3488,29,487,170,10,16.5
Dungeon Hunter Champions,12800580,130560,11243,10,195,287,2,98.04
Dungeons & Dragons,66317880,1771920,37438,165,3231,1487,39,37.43
Dying Light,5817900,886140,5354,63,3809,130,19,6.57
EA Sports UFC 3,17795340,208800,95265,77,2666,399,4,85.23
EarthBound,10870260,122460,60553,13,320,243,2,88.77
ELEX,3774780,92280,9611,11,196,84,2,40.91
Elite: Dangerous,7764600,1025880,1080,65,1936,174,23,7.57
Enter the Gungeon,21333420,792240,14823,41,3351,478,17,26.93
Environmental Station Alpha,3882420,10080,42830,5,21,87,0,385.16
Epic 7,6466200,168180,1997,13,122,145,3,38.45
Escape From Tarkov,191728320,6701580,31937,301,8295,4300,150,28.61
Eternal,64775700,609900,5579,32,590,1453,13,106.21
Euro Truck Simulator 2,43271040,3629940,27282,254,8460,970,81,11.92
Europa Universalis IV,37134960,716340,3583,51,1045,832,16,51.84
EVE Online,15599460,685200,5812,34,923,349,15,22.77
Exanima,4305360,37680,4876,7,123,96,0,114.26
F1 2018,6885540,417540,4516,63,2218,154,9,16.49
Factorio,12014880,1052760,4179,62,1854,269,23,11.41
Fallout 3,7416540,366360,4630,27,1018,166,8,20.24
Fallout 4,79226460,5094480,15830,219,12683,1777,114,15.55
Fallout 76,78005760,1573560,138444,3801,7162,1749,35,49.57
Fallout: New Vegas,11240400,963060,7818,69,2933,252,21,11.67
Far Cry 5,3116520,615420,922,38,4534,69,13,5.06
Farm Together,3616620,176400,6028,19,591,81,3,20.5
Farming Simulator 17,12626940,1713360,1580,105,3014,283,38,7.37
Fate/Grand Order,13136580,516660,6249,41,853,294,11,25.43
FIFA 17,25229100,147600,3096,11,715,565,3,170.93
FIFA 18,3947640,900180,6165,52,5266,88,20,4.39
FIFA 19,1104966180,21158880,127184,1519,57635,24786,474,52.22
FIFA Online 4,6310800,253980,8559,21,633,141,5,24.85
Final Fantasy IV,3616380,210360,5619,36,305,81,4,17.19
Final Fantasy VI,3409200,157500,3696,17,264,76,3,21.65
Final Fantasy VII,12629640,420420,6808,26,868,283,9,30.04
Final Fantasy X,3621900,87780,1616,9,202,81,1,41.26
Final Fantasy X/X-2 HD Remaster,3753660,460860,1573,29,994,84,10,8.14
FINAL FANTASY XIV Online,58187820,6961860,5176,610,8665,1305,156,8.36
Final Fantasy XV,3400380,929460,1074,41,2577,76,20,3.66
Final Fantasy: Brave Exvius,3518460,162240,1328,13,231,78,3,21.69
Fire Emblem Mobile,3869160,120600,923,11,216,86,2,32.08
Fist of the North Star,13916700,253200,6880,47,441,312,5,54.96
Food & Drink,59792220,806160,10049,38,4086,1341,18,74.17
Football Manager 2019,24805620,509340,15165,89,795,556,11,48.7
For Honor,72865980,3722100,39741,274,11130,1634,83,19.58
Fortnite,6727501200,398319000,591205,20952,822907,150908,8934,16.89
Forza Horizon 4,89881500,7280400,20354,654,23973,2016,163,12.35
Forza Motorsport 7,4342740,232140,11898,18,1010,97,5,18.71
Foxhole,5208120,113040,8271,14,208,116,2,46.07
Free Fire: Battlegrounds,3279180,883260,1446,49,3060,73,19,3.71
Friday the 13th: The Game,28943640,4651380,7136,375,26748,649,104,6.22
Frostpunk,6056880,316980,17492,26,1112,135,7,19.11
FTL: Faster Than Light,10093920,229380,7556,16,812,226,5,44.01
F-Zero GX,4571760,12660,42462,6,49,102,0,361.12
Games + Demos,115861980,2015040,39989,98,5926,2598,45,57.5
Gang Beasts,4041120,129300,15104,16,1411,90,2,31.25
Garry's Mod,53163360,1133580,63539,76,5391,1192,25,46.9
Gears of War 4,19096380,1385940,27898,92,3566,428,31,13.78
Generation Zero,10195740,261540,20653,176,1357,228,5,38.98
GetAmped,5935200,40080,6431,7,125,133,0,148.08
Getting Over It,4431900,190740,6470,14,1164,99,4,23.24
Girls Frontline,4641360,300840,2034,23,415,104,6,15.43
Go,4755420,110940,7879,9,97,106,2,42.86
God of War,10221360,1635480,3018,83,5287,229,36,6.25
God's Basement,21639120,44580,30643,14,286,485,1,485.4
GoldenEye 007,3150600,115860,1133,11,161,70,2,27.19
Golf It!,7897500,158940,34048,26,1203,177,3,49.69
Golf With Your Friends,6617640,431760,4050,42,3204,148,9,15.33
"Good Pizza, Great Pizza",7328160,28080,7306,5,204,164,0,260.97
Gran Turismo Sport,3467580,136740,6811,15,346,77,3,25.36
Grand Theft Auto V,714174600,18397800,55457,890,41759,16020,412,38.82
Grand Theft Auto: San Andreas,10530180,600600,3524,41,2289,236,13,17.53
Grand Theft Auto: Vice City,3153780,125880,4297,13,482,70,2,25.05
Graveyard Keeper,7104600,477240,3518,51,1211,159,10,14.89
Green Hell,14168220,254580,17933,23,868,317,5,55.65
Guild Wars 2,24288360,2092440,2092,113,3366,544,46,11.61
Guilty Gear Xrd REV 2,4191660,134520,4808,11,465,94,3,31.16
Guitar Hero III: Legends of Rock,7926960,625800,2982,43,2363,177,14,12.67
Gwent: The Witcher Card Game,105013860,1339020,33260,181,2480,2355,30,78.43
Halo 5: Guardians,10898580,1394460,2536,110,3482,244,31,7.82
Halo: The Master Chief Collection,8283420,895740,1185,67,2866,185,20,9.25
Hand Simulator,3048360,60240,21314,13,639,68,1,50.6
Harvester,9582660,15960,12498,6,54,214,0,600.42
Haunting Ground,3092880,23100,3990,3,62,69,0,133.89
Hearthstone,1333036800,9460620,82400,494,19632,29902,212,140.9
Hearts of Iron IV,11106420,495120,3160,39,1285,249,11,22.43
Heroes of Might and Magic III: The Shadow of Death,55619160,524700,11784,34,526,1247,11,106
Heroes of Newerth,12415980,424560,1236,22,609,278,9,29.24
Heroes of the Storm,279124980,7573200,50214,279,12537,6261,169,36.86
HITMAN,9144120,506160,6477,48,2809,205,11,18.07
Hitman 2: Silent Assassin,3570780,11220,3333,4,38,80,0,318.25
Hollow Knight,17513340,1887480,10278,86,4668,392,42,9.28
Horizon Zero Dawn,4968120,827220,1461,41,2333,111,18,6.01
House Flipper,3607140,218100,4610,17,1146,80,4,16.54
Human: Fall Flat,6999000,237180,12463,22,2476,156,5,29.51
Hunt: Showdown,18398340,1581300,14056,86,3550,412,35,11.63
I Wanna Be The Boshy,6814200,61740,5560,8,261,152,1,110.37
I Wanna Be The Guy,4396500,201600,891,17,249,98,4,21.81
Identity V,13204560,484740,25891,34,766,296,10,27.24
Infestation: The New Z,10645440,572820,720,29,672,238,12,18.58
Infliction,25162080,136260,29109,31,730,564,3,184.66
Injustice 2,5479740,231000,14843,17,1133,122,5,23.72
INSOMNIA: The Ark,3235860,47880,13554,17,128,72,1,67.58
iRacing.com,12202920,1055220,2377,119,1480,273,23,11.56
Jump Force,3319920,82380,8123,165,552,74,1,40.3
Just Chatting,2238363300,26608380,156436,1163,76354,50210,596,84.12
Just Dance 2018,8373960,104460,8670,14,469,187,2,80.16
Just Dance 2019,7347060,69060,9606,22,362,164,1,106.39
Kantai Collection,3460740,317880,863,35,307,77,7,10.89
Kartrider,13685460,287940,16182,28,837,306,6,47.53
Kerbal Space Program,9720720,510060,4786,32,1204,218,11,19.06
Killing Floor 2,6945240,1505400,5582,84,6291,155,33,4.61
Kingdom Come: Deliverance,6001320,574260,5721,43,1467,134,12,10.45
Kingdom Hearts HD I.5 + II.5 Remix,13362900,1164540,1238,66,1891,299,26,11.47
Kingdom Hearts II,3792480,95280,2349,10,253,85,2,39.8
Kirby Super Star,4204560,11700,46252,9,80,94,0,359.36
Knight Online,18372900,438660,3173,31,558,412,9,41.88
Layers of Fear,7675020,577740,5133,171,3400,172,12,13.28
League of Legends,6551494020,97964520,911568,3439,152293,146960,2197,66.88
Left 4 Dead 2,10529160,1194240,7646,135,5688,236,26,8.82
LEGO DC Super-Villains,3454080,70320,15495,16,408,77,1,49.12
Let It Die,5517120,649560,1987,39,1471,123,14,8.49
Lethal League Blaze,7846080,152940,30980,69,919,176,3,51.3
Life Is Strange,4655100,448860,3275,39,1948,104,10,10.37
Life Is Strange 2,16343340,419760,20174,82,2369,366,9,38.93
Lineage II,157468620,3903060,30131,193,2882,3532,87,40.34
Little Nightmares,12202200,530160,5531,68,2583,273,11,23.02
Lost Ark Online,3238020,81060,6036,58,396,72,1,39.95
Lost In Vivo,3043020,3060,12050,2,17,68,0,994.45
Luigi's Mansion,3716280,257040,1490,42,962,83,5,14.46
M.U.G.E.N,17459160,112620,1156,5,72,391,2,155.03
Madden NFL 19,49149120,8485680,14913,586,21579,1102,190,5.79
Mafia LIVE!,7960800,15240,1602,3,18,178,0,522.36
Magic: The Gathering,495420360,7368840,32624,285,13859,11113,165,67.23
Makers & Crafting,20755080,1425000,11069,72,2857,465,31,14.56
MapleStory,14367840,1315020,1251,61,1734,322,29,10.93
MapleStory 2,146770860,9112260,33039,812,20815,3292,204,16.11
Marble It Up!,3531420,20880,7965,10,70,79,0,169.13
Marbles On Stream,67148160,1593960,33407,81,3452,1506,35,42.13
Mario Kart 8,25980960,618120,9273,55,2550,582,13,42.03
Mario Kart Wii,3576840,205080,685,24,419,80,4,17.44
Marvel vs. Capcom Infinite,6530220,43680,8240,6,312,146,0,149.5
Marvel's Spider-Man,69649080,6658380,40806,530,25618,1562,149,10.46
MechWarrior Online,8411400,515220,657,27,581,188,11,16.33
Mega Man 11,115006260,1580760,30938,333,4837,2579,35,72.75
Mega Man X,4317480,77760,44019,9,374,96,1,55.52
Mega Man X2,4218840,31320,41867,5,129,94,0,134.7
Metal Gear Solid,4959480,71280,4351,11,217,111,1,69.58
Metal Gear Solid V: The Phantom Pain,5200080,539640,1916,29,1734,116,12,9.64
Metin 2,11346840,746340,1783,67,1176,254,16,15.2
Metro 2033,4878360,361740,8815,72,2080,109,8,13.49
Microsoft Flight Simulator X,14045880,1040400,1822,82,1200,315,23,13.5
Minecraft,264200940,14707620,35072,649,37293,5926,329,17.96
Minecraft: Story Mode,4392960,27060,6769,5,144,98,0,162.34
Minion Masters,5222040,574080,879,46,1749,117,12,9.1
Minit,3020940,7920,41004,3,50,67,0,381.43
MLB The Show 18,3775020,392280,3459,27,1276,84,8,9.62
Modern Warfare 2,3269820,406560,4658,37,2899,73,9,8.04
Monster Hunter Generations Ultimate,9421920,744240,3631,48,841,211,16,12.66
Monster Hunter World,83951460,7330320,7557,414,18735,1883,164,11.45
Mortal Kombat X,4380660,406080,955,29,2430,98,9,10.79
Mount & Blade: Warband,5360220,293820,2342,20,1045,120,6,18.24
Mu Online,3919740,112740,465,12,138,87,2,34.77
Music & Performing Arts,324166260,10988460,21394,332,13107,7271,246,29.5
My Hero One's Justice,8199960,456540,11617,145,1608,183,10,17.96
My Summer Car,25694820,214620,14030,18,568,576,4,119.72
My Time at Portia,3524760,170460,1180,12,403,79,3,20.68
Naruto to Boruto: Shinobi Striker,3914880,765000,2794,52,2305,87,17,5.12
NBA 2K Playgrounds 2,3506280,45180,5647,10,214,78,1,77.61
NBA 2K19,225590640,13482060,29784,686,32173,5060,302,16.73
Neverwinter,4815000,717300,497,36,1454,108,16,6.71
NHL 17,5936460,46080,661,3,82,133,1,128.83
NHL 19,11442720,784620,6516,61,3693,256,17,14.58
NieR Automata,6491100,617580,8252,38,2710,145,13,10.51
Nioh,5224680,602400,1480,31,1278,117,13,8.67
No Man's Sky,9497520,982440,4514,69,2682,213,22,9.67
Old School RuneScape,283317780,5677440,19880,210,8060,6355,127,49.9
osu!,53323200,7339020,9364,308,26747,1196,164,7.27
Outlast,17786940,1153920,34302,257,6945,398,25,15.41
Outlast 2,9497280,626460,5521,146,3233,213,14,15.16
