Game,WatchTime,StreamTime,PeakViewers,PeakChannels,UniqueStreamers,AverageViewers,AverageChannels,AverageViewerToChannelRatio
60 Parsecs!,31781280,112020,31960,27,606,736,2,283.71
7 Days to Die,22374240,2484060,2131,137,4304,518,57,9.01
A Hat in Time,17195880,871200,8015,182,3065,398,20,19.74
Absolver,3297900,199500,1561,41,900,76,4,16.53
Absolver,3297900,199500,1561,41,900,76,4,16.53
Age of Empires II,45426600,787500,7258,39,1483,1053,18,57.68
Aggressors: Ancient Rome,3221820,3960,14662,2,9,74,0,813.59
Aggressors: Ancient Rome,3221820,3960,14662,2,9,74,0,813.59
Aion,3829740,610140,583,45,766,88,14,6.28
Aion,3829740,610140,583,45,766,88,14,6.28
Alien: Isolation,6904680,457200,3827,35,1852,160,10,15.1
Always On,567502200,766920,51368,20,59,13154,17,739.98
Animal Crossing: New Leaf,3927060,77460,10024,10,164,91,1,50.7
Animal Crossing: New Leaf,3927060,77460,10024,10,164,91,1,50.7
Arena of Valor,20659800,716820,6161,45,1640,478,16,28.82
ARK,86531400,5933580,19749,278,7467,2005,137,14.58
Arma 3,37259040,3180660,13829,220,5793,863,73,11.71
Art,25959480,1184400,14821,312,4881,601,27,21.92
Artifact,3099480,59040,2489,17,85,71,1,52.5
Artifact,3099480,59040,2489,17,85,71,1,52.5
ASMR,20886720,142020,14889,36,426,484,3,147.07
Assassin's Creed Odyssey,3365760,16620,10159,18,124,78,0,202.51
Assassin's Creed Odyssey,3365760,16620,10159,18,124,78,0,202.51
Assassin's Creed Origins,8969580,807360,2482,49,4355,207,18,11.11
Astroneer,3998280,347220,2760,28,1039,92,8,11.52
Astroneer,3998280,347220,2760,28,1039,92,8,11.52
Azur Lane,7866180,367560,1812,27,616,182,8,21.4
Barbie and the Magic of Pegasus,7749780,16500,23132,6,75,179,0,469.68
Battlefield 1,22351260,4809840,3175,249,19539,518,111,4.65
Battlefield V,181035000,7575780,99443,1825,34670,4196,175,23.9
Battlerite,9853380,817440,11867,49,2737,228,18,12.05
Battlerite Royale,76215360,1210440,40300,392,4290,1766,28,62.97
Beat Saber,14589960,1208820,9798,62,4650,338,28,12.07
Beauty & Body Art,12417000,24240,52853,17,179,287,0,512.25
Black Desert Mobile,9282780,334200,1429,23,213,215,7,27.78
Black Desert Online,132790860,6597540,5964,228,8064,3078,152,20.13
Black Squad,3232200,835500,858,47,2348,74,19,3.87
Black Squad,3232200,835500,858,47,2348,74,19,3.87
Black Survival,3287040,175980,390,13,205,76,4,18.68
Black Survival,3287040,175980,390,13,205,76,4,18.68
Blackjack,8122080,25440,48575,6,106,188,0,319.26
Blade and Soul,24303600,1880460,7573,110,2785,563,43,12.92
BlazBlue Cross Tag Battle,10090740,474780,7176,49,1475,233,11,21.25
Bloodborne,28989960,1783740,4193,81,5303,671,41,16.25
Board Games,3369780,129000,2897,15,269,78,2,26.12
Board Games,3369780,129000,2897,15,269,78,2,26.12
Borderlands 2,18581940,1600080,11802,79,4969,430,37,11.61
Borderlands: The Pre-Sequel!,3317400,202500,1147,17,735,76,4,16.38
Borderlands: The Pre-Sequel!,3317400,202500,1147,17,735,76,4,16.38
Boundless,8195820,264240,4592,25,467,189,6,31.02
Brawlhalla,9841860,1443360,5488,77,8117,228,33,6.82
Breathedge,20389440,235920,23727,44,1321,472,5,86.43
Call of Duty: Black Ops,3426120,320220,3769,25,2085,79,7,10.7
Call of Duty: Black Ops,3426120,320220,3769,25,2085,79,7,10.7
Call of Duty: Black Ops 4,1188095100,18998160,586545,5660,66615,27540,440,62.54
Call of Duty: Black Ops II,8977080,812880,23562,46,3504,208,18,11.04
Call of Duty: Black Ops III,65844960,8154540,22838,387,36141,1526,189,8.07
Call of Duty: Ghosts,17966400,576360,24695,80,2391,416,13,31.17
Call of Duty: WWII,22467840,3185760,6687,180,25571,520,73,7.05
Capcom Beat 'Em Up Bundle,3611940,60300,8060,23,362,83,1,59.9
Capcom Beat 'Em Up Bundle,3611940,60300,8060,23,362,83,1,59.9
Casino,221165520,578580,43806,83,1050,5126,13,382.26
Casino_old,417479700,1862880,51882,115,1336,9677,43,224.1
Celeste,7166400,324180,3180,23,942,166,7,22.11
Chess,42228300,758220,10855,54,951,978,17,55.69
Chrono Trigger,4111740,226620,3528,18,531,95,5,18.14
Chrono Trigger,4111740,226620,3528,18,531,95,5,18.14
Cities: Skylines,15133680,919980,5358,47,3536,350,21,16.45
Clash of Clans,3853380,325500,408,21,720,89,7,11.84
Clash of Clans,3853380,325500,408,21,720,89,7,11.84
Clash Royale,27812280,783660,12780,44,2558,644,18,35.49
Colina: Legacy,9499560,22800,21946,9,108,220,0,416.65
Conan Exiles,15558300,1270260,15098,63,2060,360,29,12.25
Cookie Run: OvenBreak,4093440,5280,7555,2,23,94,0,775.27
Cookie Run: OvenBreak,4093440,5280,7555,2,23,94,0,775.27
Counter-Strike Online,3615600,24000,6213,4,129,83,0,150.65
Counter-Strike Online,3615600,24000,6213,4,129,83,0,150.65
Counter-Strike: Global Offensive,4233885000,42237420,827050,1939,114229,98142,979,100.24
Crash Bandicoot: N. Sane Trilogy,4076820,384240,6641,25,2889,94,8,10.61
Crash Bandicoot: N. Sane Trilogy,4076820,384240,6641,25,2889,94,8,10.61
Creative,223612920,14824860,55284,651,29748,5183,343,15.08
CrossCode,23747520,442260,23714,54,1049,550,10,53.7
Crypto,7975080,816960,632,26,152,184,18,9.76
Cube Escape: Paradox,16528380,78960,29101,17,396,383,1,209.33
Cuphead,10564680,517020,6857,33,2982,244,11,20.43
Cypher,3233460,7920,8566,3,18,74,0,408.27
Cypher,3233460,7920,8566,3,18,74,0,408.27
Danganronpa: Trigger Happy Havoc,3299340,154020,1065,14,365,76,3,21.42
Danganronpa: Trigger Happy Havoc,3299340,154020,1065,14,365,76,3,21.42
Dark Souls,34974480,1512540,14869,85,3686,810,35,23.12
Dark Souls II: Scholar of the First Sin,10796880,824040,3067,48,1940,250,19,13.1
Dark Souls III,48022500,3471120,9922,138,9613,1113,80,13.83
